setting,model,roc_auc,ci_lower,ci_upper
course_1,catboost,0.6125558406305682,0.5881811171140603,0.636550382221213
course_1,logistic,0.6414351087418031,0.6182594974146204,0.6654149040570037
course_2,catboost,0.5712046078960298,0.5480579658810147,0.5940082031390471
course_2,logistic,0.6523177582799207,0.6293964023594453,0.6744088825382414
iid,catboost,0.7001286505981703,0.6660516346292719,0.7345433761066764
iid,logistic,0.6944933145672062,0.6595281808258752,0.730307308372324
temporal_1,catboost,0.578189031255026,0.5484971061914078,0.6082263891113057
temporal_1,logistic,0.6441859218356297,0.6129167139305725,0.6735239003928921
temporal_2,catboost,0.6527810397326708,0.6242403916190409,0.6809117847694393
temporal_2,logistic,0.6962797232763487,0.6680130295349407,0.7230009070482989
