policy,automatic_coverage,automatic_error_rate,automatic_false_negative_fraction,automatic_false_positive_fraction,expected_n_automatic,setting,model,seed,calibration,matched_method
confidence,0.2,0.3119047619047619,0.0541586073500967,0.0703564727954971,420.0,course_1,logistic,42,none,fixed_budget
random,0.2,0.4004761904761902,0.053384912959381,0.1060037523452158,420.0,course_1,logistic,42,none,fixed_budget
confidence,0.4,0.3404761904761905,0.0957446808510638,0.175422138836773,840.0,course_1,logistic,42,none,fixed_budget
random,0.4,0.4004761904761902,0.1067698259187621,0.2120075046904316,840.0,course_1,logistic,42,none,fixed_budget
confidence,0.6,0.365079365079365,0.1392649903288201,0.2964352720450281,1260.0,course_1,logistic,42,none,fixed_budget
random,0.6,0.400476190476191,0.1601547388781431,0.3180112570356473,1259.9999999999998,course_1,logistic,42,none,fixed_budget
confidence,0.8,0.3738095238095238,0.1856866537717601,0.4090056285178236,1680.0,course_1,logistic,42,none,fixed_budget
random,0.8,0.4004761904761902,0.2135396518375242,0.4240150093808632,1680.0,course_1,logistic,42,none,fixed_budget
confidence,0.2,0.3119047619047619,0.0851063829787234,0.0403377110694183,420.0,course_1,logistic,42,platt,fixed_budget
random,0.2,0.3914285714285712,0.0773694390715667,0.0791744840525328,420.0,course_1,logistic,42,platt,fixed_budget
confidence,0.4,0.3178571428571428,0.1528046421663443,0.1022514071294559,840.0,course_1,logistic,42,platt,fixed_budget
random,0.4,0.3914285714285712,0.1547388781431335,0.1583489681050657,840.0,course_1,logistic,42,platt,fixed_budget
confidence,0.6,0.3492063492063492,0.2214700193423597,0.197936210131332,1260.0,course_1,logistic,42,platt,fixed_budget
random,0.6,0.3914285714285719,0.2321083172147001,0.2375234521575984,1259.9999999999998,course_1,logistic,42,platt,fixed_budget
confidence,0.8,0.3767857142857143,0.3094777562862669,0.2936210131332082,1680.0,course_1,logistic,42,platt,fixed_budget
random,0.8,0.3914285714285712,0.309477756286267,0.3166979362101315,1680.0,course_1,logistic,42,platt,fixed_budget
confidence,0.2,0.3136720667648502,0.0403696982990687,0.0844277673545966,420.0,course_1,logistic,42,isotonic,fixed_budget
random,0.2,0.3885714285714284,0.0760154738878143,0.0793621013133208,420.0,course_1,logistic,42,isotonic,fixed_budget
confidence,0.4,0.3244505494505494,0.1455884540990924,0.1144465290806754,840.0,course_1,logistic,42,isotonic,fixed_budget
random,0.4,0.3885714285714284,0.1520309477756286,0.1587242026266417,840.0,course_1,logistic,42,isotonic,fixed_budget
confidence,0.6,0.3494177583697234,0.2137330754352031,0.2056907838141196,1260.0,course_1,logistic,42,isotonic,fixed_budget
random,0.6,0.388571428571429,0.2280464216634429,0.2380863039399624,1259.9999999999998,course_1,logistic,42,isotonic,fixed_budget
confidence,0.8,0.377267688451899,0.3141293197284239,0.2898686679174484,1680.0,course_1,logistic,42,isotonic,fixed_budget
random,0.8,0.3885714285714284,0.3040618955512573,0.3174484052532834,1680.0,course_1,logistic,42,isotonic,fixed_budget
confidence,0.3180952380952381,0.3188622754491018,0.0880077369439071,0.1144465290806754,668.0,course_1,logistic,42,isotonic,split_cp
random,0.3180952380952381,0.3885714285714283,0.1209008013263332,0.1262235325649959,668.0,course_1,logistic,42,isotonic,split_cp
singleton,0.3180952380952381,0.3188622754491018,0.0880077369439071,0.1144465290806754,668.0,course_1,logistic,42,isotonic,split_cp
confidence,0.3857142857142857,0.3236467236467236,0.1355453057580717,0.1144465290806754,810.0000000000001,course_1,logistic,42,isotonic,mondrian_cp
random,0.3857142857142857,0.3885714285714287,0.1466012710693562,0.1530554811042616,810.0000000000002,course_1,logistic,42,isotonic,mondrian_cp
singleton,0.3857142857142857,0.337037037037037,0.0880077369439071,0.1707317073170731,810.0,course_1,logistic,42,isotonic,mondrian_cp
confidence,0.4009523809523809,0.3245021012241915,0.1462579973218271,0.1144465290806754,842.0,course_1,logistic,42,isotonic,empirical_mondrian
random,0.4009523809523809,0.3885714285714289,0.1523929262227134,0.1591021173948003,842.0,course_1,logistic,42,isotonic,empirical_mondrian
singleton,0.4009523809523809,0.339667458432304,0.0880077369439071,0.1829268292682926,842.0,course_1,logistic,42,isotonic,empirical_mondrian
confidence,0.2833333333333333,0.3247526858844804,0.0688857331733712,0.1144465290806754,595.0,course_1,logistic,42,isotonic,weighted_cap5
random,0.2833333333333333,0.3885714285714285,0.1076885880077369,0.1124296435272044,594.9999999999999,course_1,logistic,42,isotonic,weighted_cap5
singleton,0.2833333333333333,0.3042016806722689,0.0880077369439071,0.0844277673545966,595.0,course_1,logistic,42,isotonic,weighted_cap5
confidence,0.2833333333333333,0.3247526858844804,0.0688857331733712,0.1144465290806754,595.0,course_1,logistic,42,isotonic,weighted_cap10
random,0.2833333333333333,0.3885714285714285,0.1076885880077369,0.1124296435272044,594.9999999999999,course_1,logistic,42,isotonic,weighted_cap10
singleton,0.2833333333333333,0.3042016806722689,0.0880077369439071,0.0844277673545966,595.0,course_1,logistic,42,isotonic,weighted_cap10
confidence,0.2833333333333333,0.3247526858844804,0.0688857331733712,0.1144465290806754,595.0,course_1,logistic,42,isotonic,weighted_cap20
