roc_auc,pr_auc,macro_f1,balanced_accuracy,brier,nll,ece,calibration_slope,calibration_intercept,setting,model,seed,calibration,kind,n_test,n_train,n_calibrator_fit,n_conformal_score,n_features,features,nominal_coverage,observed_coverage,coverage_gap,average_set_size,singleton_rate,ambiguity_rate,empty_set_rate,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,deferral_rate,n_automatic,undercoverage,overcoverage,n_pass,n_fail,coverage_ci_lower,coverage_ci_upper,pass_ci_lower,pass_ci_upper,fail_ci_lower,fail_ci_upper,automatic_error_ci_lower,automatic_error_ci_upper,automatic_false_negative_fraction,automatic_false_positive_fraction,method,alpha,domain_auc,weight_min,weight_median,weight_mean,weight_max,raw_weight_p99,effective_sample_size,weight_cap,ess_class_0,ess_class_1
0.6414351087418031,0.6239375577299129,0.5934346404920313,0.601528336738508,0.2440180760025719,0.7052720891333961,0.0861861848994064,0.503638751159237,-0.1477381649205681,course_1,logistic,42,none,probability,2100,1635.0,272.0,273.0,25.0,total_clicks|active_days|active_weeks|num_sessions|night_activity_ratio|weekend_activity_ratio|material_clicks|assessment_clicks|forum_accesses|grade_page_accesses|main_page_accesses|unique_content|total_session_minutes|median_session_minutes|clicks_per_session|sessions_per_active_day|active_day_fraction|zero_activity|days_since_last_activity|days_to_first_activity|actions_week_1|actions_week_2|actions_week_3|actions_week_4|forum_posts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,course_1,logistic,42,none,conformal,2100,,,,,,0.8,0.7490476190476191,0.0509523809523809,1.316190476190476,0.6838095238095238,0.3161904761904762,0.0,0.6594746716697936,0.8413926499032882,0.6838095238095238,0.366991643454039,0.3161904761904762,1436.0,0.0509523809523809,0.0,1066.0,1034.0,0.7300608569836204,0.7671248960656298,0.6304999503512196,0.687304147813744,0.8178680348362194,0.8623900084320003,0.3424483218914259,0.3922446905511536,0.1586073500967117,0.3405253283302064,split_cp,0.2,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,none,conformal,2100,,,,,,0.8,0.7504761904761905,0.0495238095238095,1.315238095238095,0.6847619047619048,0.3152380952380952,0.0,0.6641651031894934,0.839458413926499,0.6847619047619048,0.364394993045897,0.3152380952380952,1438.0,0.0495238095238095,0.0,1066.0,1034.0,0.731521944161459,0.768515734813504,0.6352693127111986,0.6918819648115582,0.8158321449909959,0.8605717450575737,0.3399126479121783,0.3895999156126717,0.1605415860735009,0.3358348968105065,mondrian_cp,0.2,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,none,conformal,2100,,,,,,0.85,0.7752380952380953,0.0747619047619047,1.39,0.61,0.39,0.0,0.6960600375234521,0.8568665377176016,0.61,0.3684621389539422,0.39,1281.0,0.0747619047619047,0.0,1066.0,1034.0,0.7568915065092049,0.792579555178112,0.6677853827142325,0.7229267144415171,0.8341983440053043,0.8768929250201151,0.3424758445195213,0.3952349853370129,0.1431334622823984,0.3039399624765478,split_cp,0.15,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,none,conformal,2100,,,,,,0.85,0.7923809523809524,0.0576190476190475,1.433809523809524,0.5661904761904762,0.4338095238095238,0.0,0.7298311444652908,0.8568665377176016,0.5661904761904762,0.3666947014297729,0.4338095238095238,1189.0,0.0576190476190475,0.0,1066.0,1034.0,0.7745071247928268,0.8091870480030425,0.7023847944592482,0.7556269940726116,0.8341983440053043,0.8768929250201151,0.3397732595154307,0.3944747433051597,0.1431334622823984,0.2701688555347092,mondrian_cp,0.15,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,none,conformal,2100,,,,,,0.9,0.8304761904761905,0.0695238095238095,1.5223809523809524,0.4776190476190476,0.5223809523809524,0.0,0.7711069418386491,0.8916827852998066,0.4776190476190476,0.3549351944167497,0.5223809523809524,1003.0,0.0695238095238095,0.0,1066.0,1034.0,0.8138282023410401,0.8459173284738348,0.7449401032251092,0.7953268636553293,0.8712699083183133,0.9091961186608056,0.3259276161942602,0.3850497204552992,0.1083172147001934,0.2288930581613508,split_cp,0.1,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,none,conformal,2100,,,,,,0.9,0.8580952380952381,0.0419047619047618,1.576190476190476,0.4238095238095238,0.5761904761904761,0.0,0.8292682926829268,0.8878143133462283,0.4238095238095238,0.3348314606741573,0.5761904761904761,890.0,0.0419047619047618,0.0,1066.0,1034.0,0.8425160177098835,0.8723667476687708,0.8055077990508723,0.8506641918661999,0.8671247839087408,0.9056329366310782,0.3045948358374964,0.366487773837049,0.1121856866537717,0.1707317073170731,mondrian_cp,0.1,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,none,conformal,2100,,,,,,0.95,0.9052380952380952,0.0447619047619046,1.7085714285714286,0.2914285714285714,0.7085714285714285,0.0,0.8836772983114447,0.9274661508704062,0.2914285714285714,0.3251633986928104,0.7085714285714285,612.0,0.0447619047619046,0.0,1066.0,1034.0,0.8919610457641968,0.9170352751629772,0.8630385295040031,0.9015607419634688,0.9100249880267,0.9417428735159434,0.2892411466059,0.3632668212568037,0.0725338491295938,0.1163227016885553,split_cp,0.05,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,none,conformal,2100,,,,,,0.95,0.9071428571428573,0.0428571428571428,1.7104761904761905,0.2895238095238095,0.7104761904761905,0.0,0.899624765478424,0.9148936170212766,0.2895238095238095,0.3207236842105263,0.7104761904761905,608.0,0.0428571428571428,0.0,1066.0,1034.0,0.8939753154633203,0.9188235733648038,0.8801261305341498,0.9162535507498184,0.8963120849830735,0.930403780631845,0.284847850779343,0.3588506975011406,0.0851063829787234,0.1003752345215759,mondrian_cp,0.05,0.8973525007487272,,,,,,,,,
0.6414351087418031,0.6239375577299129,0.6085625524388307,0.6086401921897511,0.2369234973434578,0.6731076305561728,0.0303388752248189,0.6543563455142561,0.0037425860606076,course_1,logistic,42,platt,probability,2100,1635.0,272.0,273.0,25.0,total_clicks|active_days|active_weeks|num_sessions|night_activity_ratio|weekend_activity_ratio|material_clicks|assessment_clicks|forum_accesses|grade_page_accesses|main_page_accesses|unique_content|total_session_minutes|median_session_minutes|clicks_per_session|sessions_per_active_day|active_day_fraction|zero_activity|days_since_last_activity|days_to_first_activity|actions_week_1|actions_week_2|actions_week_3|actions_week_4|forum_posts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
