policy,automatic_coverage,automatic_error_rate,automatic_false_negative_fraction,automatic_false_positive_fraction,expected_n_automatic,setting,model,seed,calibration,matched_method
confidence,0.2,0.234892972153817,0.0830838323353293,0.0099731492136555,1055.8,course_DDD,logistic,42,none,fixed_budget
random,0.2,0.3763970448948665,0.107185628742515,0.0425776754890678,1055.8,course_DDD,logistic,42,none,fixed_budget
confidence,0.4,0.2830081454820988,0.1884730538922155,0.0360567702339854,2111.6,course_DDD,logistic,42,none,fixed_budget
random,0.4,0.3763970448948665,0.21437125748503,0.0851553509781357,2111.6,course_DDD,logistic,42,none,fixed_budget
confidence,0.6,0.3174212287680747,0.2990269461077844,0.0791714614499425,3167.4,course_DDD,logistic,42,none,fixed_budget
random,0.6,0.3763970448948668,0.3215568862275449,0.1277330264672037,3167.399999999999,course_DDD,logistic,42,none,fixed_budget
confidence,0.8,0.3480772873650313,0.4195359281437126,0.1338703490602224,4223.2,course_DDD,logistic,42,none,fixed_budget
random,0.8,0.3763970448948665,0.42874251497006,0.1703107019562715,4223.2,course_DDD,logistic,42,none,fixed_budget
confidence,0.2,0.2775146808107596,0.1051646706586826,0.004602991944764,1055.8,course_DDD,logistic,42,platt,fixed_budget
random,0.2,0.4038643682515628,0.1456586826347305,0.0142692750287687,1055.8,course_DDD,logistic,42,platt,fixed_budget
confidence,0.4,0.3227884068952453,0.2491017964071856,0.0061373225930187,2111.6,course_DDD,logistic,42,platt,fixed_budget
random,0.4,0.4038643682515628,0.2913173652694611,0.0285385500575374,2111.6,course_DDD,logistic,42,platt,fixed_budget
confidence,0.6,0.3573909199974742,0.4150449101796407,0.0088224012274645,3167.4,course_DDD,logistic,42,platt,fixed_budget
random,0.6,0.4038643682515633,0.4369760479041919,0.042807825086306,3167.399999999999,course_DDD,logistic,42,platt,fixed_budget
confidence,0.8,0.3833585906421671,0.5834580838323353,0.0230149597238204,4223.2,course_DDD,logistic,42,platt,fixed_budget
random,0.8,0.4038643682515628,0.5826347305389223,0.0570771001150748,4223.2,course_DDD,logistic,42,platt,fixed_budget
confidence,0.2,0.2897794777200531,0.1100109178805509,0.004602991944764,1055.8,course_DDD,logistic,42,isotonic,fixed_budget
random,0.2,0.4203447622655806,0.1584580838323353,0.0078250863060989,1055.8,course_DDD,logistic,42,isotonic,fixed_budget
confidence,0.4,0.3229370364433824,0.25,0.0053371101472367,2111.5999999999995,course_DDD,logistic,42,isotonic,fixed_budget
random,0.4,0.4203447622655806,0.3169161676646707,0.0156501726121979,2111.6,course_DDD,logistic,42,isotonic,fixed_budget
confidence,0.6,0.3536730642053834,0.4095149938488517,0.0099731492136555,3167.4,course_DDD,logistic,42,isotonic,fixed_budget
random,0.6,0.420344762265581,0.4753742514970063,0.0234752589182968,3167.399999999999,course_DDD,logistic,42,isotonic,fixed_budget
confidence,0.8,0.3740383402782138,0.55300850249362,0.0391254315304948,4223.2,course_DDD,logistic,42,isotonic,fixed_budget
random,0.8,0.4203447622655806,0.6338323353293414,0.0313003452243958,4223.2,course_DDD,logistic,42,isotonic,fixed_budget
confidence,0.3987497632127297,0.3235154394299287,0.25,0.0049865746068277,2105.0,course_DDD,logistic,42,isotonic,split_cp
random,0.3987497632127297,0.4203447622655803,0.3159256170364328,0.0156012565583806,2105.000000000001,course_DDD,logistic,42,isotonic,split_cp
singleton,0.3987497632127297,0.3235154394299287,0.25,0.0049865746068277,2105.0,course_DDD,logistic,42,isotonic,split_cp
confidence,0.1634779314264065,0.2766162898679355,0.0848502463158788,0.004602991944764,863.0,course_DDD,logistic,42,isotonic,mondrian_cp
random,0.1634779314264065,0.4203447622655805,0.1295219988135114,0.0063961446127707,863.0,course_DDD,logistic,42,isotonic,mondrian_cp
singleton,0.1634779314264065,0.2213209733487833,0.061751497005988,0.0099731492136555,863.0,course_DDD,logistic,42,isotonic,mondrian_cp
confidence,0.1634779314264065,0.2766162898679355,0.0848502463158788,0.004602991944764,863.0,course_DDD,logistic,42,isotonic,empirical_mondrian
random,0.1634779314264065,0.4203447622655805,0.1295219988135114,0.0063961446127707,863.0,course_DDD,logistic,42,isotonic,empirical_mondrian
singleton,0.1634779314264065,0.2213209733487833,0.061751497005988,0.0099731492136555,863.0,course_DDD,logistic,42,isotonic,empirical_mondrian
confidence,0.2258003409736692,0.2965118123978612,0.1277852097223991,0.004602991944764,1192.0,course_DDD,logistic,42,isotonic,weighted_cap5
random,0.2258003409736692,0.4203447622655802,0.1788994467968778,0.0088345357803276,1192.0,course_DDD,logistic,42,isotonic,weighted_cap5
singleton,0.2258003409736692,0.2248322147651006,0.061751497005988,0.0395090141925585,1192.0,course_DDD,logistic,42,isotonic,weighted_cap5
confidence,0.2258003409736692,0.2965118123978612,0.1277852097223991,0.004602991944764,1192.0,course_DDD,logistic,42,isotonic,weighted_cap10
random,0.2258003409736692,0.4203447622655802,0.1788994467968778,0.0088345357803276,1192.0,course_DDD,logistic,42,isotonic,weighted_cap10
singleton,0.2258003409736692,0.2248322147651006,0.061751497005988,0.0395090141925585,1192.0,course_DDD,logistic,42,isotonic,weighted_cap10
confidence,0.2258003409736692,0.2965118123978612,0.1277852097223991,0.004602991944764,1192.0,course_DDD,logistic,42,isotonic,weighted_cap20
random,0.2258003409736692,0.4203447622655802,0.1788994467968778,0.0088345357803276,1192.0,course_DDD,logistic,42,isotonic,weighted_cap20
singleton,0.2258003409736692,0.2248322147651006,0.061751497005988,0.0395090141925585,1192.0,course_DDD,logistic,42,isotonic,weighted_cap20
confidence,0.2258003409736692,0.2965118123978612,0.1277852097223991,0.004602991944764,1192.0,course_DDD,logistic,42,isotonic,weighted_p99
random,0.2258003409736692,0.4203447622655802,0.1788994467968778,0.0088345357803276,1192.0,course_DDD,logistic,42,isotonic,weighted_p99
singleton,0.2258003409736692,0.2248322147651006,0.061751497005988,0.0395090141925585,1192.0,course_DDD,logistic,42,isotonic,weighted_p99
confidence,0.2,0.2896381890509565,0.1080838323353293,0.0065209052550824,1055.8,course_DDD,catboost,42,none,fixed_budget
random,0.2,0.4078423943928774,0.1361526946107785,0.0256233218258534,1055.8,course_DDD,catboost,42,none,fixed_budget
confidence,0.4,0.3369956431142261,0.2554640718562874,0.0111238971998465,2111.6,course_DDD,catboost,42,none,fixed_budget
random,0.4,0.4078423943928774,0.272305389221557,0.0512466436517069,2111.6,course_DDD,catboost,42,none,fixed_budget
confidence,0.6,0.3687567089726589,0.4120508982035928,0.0257000383582662,3167.4,course_DDD,catboost,42,none,fixed_budget
