setting,model,comparison,metric,estimate,ci_lower,ci_upper,n_entities,iterations
course_1,catboost,weighted_cap10-minus-mondrian_cp,coverage,0.07000000000000006,0.059523809523809534,0.08095238095238089,2100,2000
course_1,catboost,weighted_cap10-minus-mondrian_cp,undercoverage,-0.024285714285714355,-0.03810714285714283,-0.010952380952380936,2100,2000
course_1,catboost,weighted_cap10-minus-mondrian_cp,absolute_coverage_gap,0.021428571428571352,0.0,0.04142857142857137,2100,2000
course_1,catboost,weighted_cap10-minus-mondrian_cp,automatic_coverage,-0.15714285714285714,-0.17238095238095238,-0.14095238095238097,2100,2000
course_1,catboost,weighted_cap10-minus-mondrian_cp,automatic_error,-0.04999999999999999,-0.08914163492395777,-0.01411472527379026,2100,2000
course_1,catboost,weighted_cap10-minus-empirical_mondrian,coverage,0.07000000000000006,0.059523809523809534,0.08095238095238089,2100,2000
course_1,catboost,weighted_cap10-minus-empirical_mondrian,undercoverage,-0.024285714285714355,-0.03810714285714283,-0.010952380952380936,2100,2000
course_1,catboost,weighted_cap10-minus-empirical_mondrian,absolute_coverage_gap,0.021428571428571352,0.0,0.04142857142857137,2100,2000
course_1,catboost,weighted_cap10-minus-empirical_mondrian,automatic_coverage,-0.15714285714285714,-0.17238095238095238,-0.14095238095238097,2100,2000
course_1,catboost,weighted_cap10-minus-empirical_mondrian,automatic_error,-0.04999999999999999,-0.08914163492395777,-0.01411472527379026,2100,2000
course_1,logistic,weighted_cap10-minus-mondrian_cp,coverage,0.043809523809523854,0.03523809523809529,0.05238095238095242,2100,2000
course_1,logistic,weighted_cap10-minus-mondrian_cp,undercoverage,-0.030000000000000027,-0.043333333333333335,-0.01571428571428579,2100,2000
course_1,logistic,weighted_cap10-minus-mondrian_cp,absolute_coverage_gap,-0.0161904761904762,-0.0400119047619049,0.007619047619047528,2100,2000
course_1,logistic,weighted_cap10-minus-mondrian_cp,automatic_coverage,-0.1023809523809524,-0.11523809523809525,-0.08998809523809527,2100,2000
course_1,logistic,weighted_cap10-minus-mondrian_cp,automatic_error,-0.03283535636476814,-0.05329445351150484,-0.012422164497746531,2100,2000
course_1,logistic,weighted_cap10-minus-empirical_mondrian,coverage,0.050000000000000044,0.04095238095238096,0.059047619047619126,2100,2000
course_1,logistic,weighted_cap10-minus-empirical_mondrian,undercoverage,-0.03619047619047622,-0.050011904761904806,-0.021904761904761982,2100,2000
course_1,logistic,weighted_cap10-minus-empirical_mondrian,absolute_coverage_gap,-0.02238095238095239,-0.04620238095238099,0.0019047619047618536,2100,2000
course_1,logistic,weighted_cap10-minus-empirical_mondrian,automatic_coverage,-0.11761904761904762,-0.13142857142857145,-0.10333333333333333,2100,2000
