setting,metric,estimate,ci_lower,ci_upper
course_1,coverage,0.05,0.0409523809523809,0.0590476190476191
course_1,automatic_error,-0.0354657777600351,-0.0574773658049551,-0.0141099202909099
course_2,coverage,0.0,0.0,0.0
course_2,automatic_error,0.0,0.0,0.0
iid,coverage,0.0362149532710279,0.0245327102803737,0.0490654205607475
iid,automatic_error,-0.0549358616843279,-0.1368720424925116,0.0289607842627811
temporal_1,coverage,-0.0721500721500721,-0.0858585858585858,-0.059163059163059
temporal_1,automatic_error,0.0615205232378072,0.0338766176066121,0.0915499311913732
temporal_2,coverage,0.0,0.0,0.0
temporal_2,automatic_error,0.0,0.0,0.0
