Setting,Model,Method,Coverage,Size,Auto,Error
IID,catboost,EMP,0.977803738317757,1.8808411214953271,0.1191588785046729,0.1862745098039215
IID,catboost,MCP,0.977803738317757,1.8808411214953271,0.1191588785046729,0.1862745098039215
IID,catboost,IW-M,0.977803738317757,1.8808411214953271,0.1191588785046729,0.1862745098039215
IID,logistic,EMP,0.9462616822429908,1.8095794392523368,0.1904205607476635,0.2822085889570552
IID,logistic,MCP,0.9462616822429908,1.8119158878504675,0.1880841121495327,0.2857142857142857
IID,logistic,IW-M,0.9824766355140186,1.9228971962616823,0.0771028037383177,0.2272727272727272
Temporal-1,catboost,EMP,0.98989898989899,1.971861471861472,0.0281385281385281,0.358974358974359
Temporal-1,catboost,MCP,0.98989898989899,1.971861471861472,0.0281385281385281,0.358974358974359
Temporal-1,catboost,IW-M,0.8867243867243867,1.7813852813852813,0.2186147186147186,0.5181518151815182
Temporal-1,logistic,EMP,0.9235209235209236,1.6976911976911977,0.3023088023088023,0.2529832935560859
Temporal-1,logistic,MCP,0.9408369408369408,1.7597402597402598,0.2402597402597402,0.2462462462462462
Temporal-1,logistic,IW-M,0.8513708513708513,1.5274170274170271,0.4725829725829726,0.3145038167938931
Temporal-2,catboost,EMP,0.8263045032165832,1.4781987133666905,0.5218012866333095,0.3328767123287671
Temporal-2,catboost,MCP,0.8263045032165832,1.4781987133666905,0.5218012866333095,0.3328767123287671
Temporal-2,catboost,IW-M,0.8263045032165832,1.4781987133666905,0.5218012866333095,0.3328767123287671
Temporal-2,logistic,EMP,0.8248749106504646,1.4696211579699785,0.5303788420300214,0.330188679245283
Temporal-2,logistic,MCP,0.8248749106504646,1.4710507505360972,0.5289492494639028,0.3310810810810811
Temporal-2,logistic,IW-M,0.8248749106504646,1.4696211579699785,0.5303788420300214,0.330188679245283
Course-1,catboost,EMP,0.8757142857142857,1.6857142857142855,0.3142857142857143,0.3954545454545454
Course-1,catboost,MCP,0.8757142857142857,1.6857142857142855,0.3142857142857143,0.3954545454545454
Course-1,catboost,IW-M,0.9457142857142856,1.8428571428571427,0.1571428571428571,0.3454545454545454
Course-1,logistic,EMP,0.8638095238095238,1.599047619047619,0.4009523809523809,0.339667458432304
Course-1,logistic,MCP,0.87,1.6142857142857143,0.3857142857142857,0.337037037037037
Course-1,logistic,IW-M,0.9138095238095238,1.7166666666666666,0.2833333333333333,0.3042016806722689
Course-2,catboost,EMP,0.944954128440367,1.8871559633027524,0.1128440366972477,0.4878048780487805
Course-2,catboost,MCP,0.944954128440367,1.8871559633027524,0.1128440366972477,0.4878048780487805
Course-2,catboost,IW-M,0.944954128440367,1.8871559633027524,0.1128440366972477,0.4878048780487805
Course-2,logistic,EMP,0.9270642201834862,1.7353211009174312,0.2646788990825688,0.2755632582322357
Course-2,logistic,MCP,0.969724770642202,1.920183486238532,0.0798165137614679,0.3793103448275862
Course-2,logistic,IW-M,0.9270642201834862,1.7353211009174312,0.2646788990825688,0.2755632582322357
