Setting,Method,Coverage,Pass,Fail,Auto,Error
IID,MCP,0.9462616822429908,0.9051724137931034,0.9948979591836736,0.1880841121495327,0.2857142857142857
IID,IW-M,0.9824766355140186,0.9719827586206896,0.9948979591836736,0.0771028037383177,0.2272727272727272
Temporal-1,MCP,0.9408369408369408,0.995067817509248,0.8643478260869565,0.2402597402597402,0.2462462462462462
Temporal-1,IW-M,0.8513708513708513,0.8717632552404438,0.8226086956521739,0.4725829725829726,0.3145038167938931
Temporal-2,MCP,0.8248749106504646,1.0,0.6153846153846154,0.5289492494639028,0.3310810810810811
Temporal-2,IW-M,0.8248749106504646,1.0,0.6153846153846154,0.5303788420300214,0.330188679245283
Course-1,MCP,0.87,0.8292682926829268,0.9119922630560928,0.3857142857142857,0.337037037037037
Course-1,IW-M,0.9138095238095238,0.9155722326454032,0.9119922630560928,0.2833333333333333,0.3042016806722689
Course-2,MCP,0.969724770642202,0.9544364508393284,0.9903121636167922,0.0798165137614679,0.3793103448275862
Course-2,IW-M,0.9270642201834862,0.9544364508393284,0.8902045209903121,0.2646788990825688,0.2755632582322357
