Setting,Model,Method,Coverage,Success,Non-success,Auto,Error
course_DDD,logistic,MCP,0.963818905095662,0.9900268507863444,0.938248502994012,0.1634779314264065,0.2213209733487833
course_DDD,logistic,IW-M,0.9492328092441752,0.9604909858074416,0.938248502994012,0.2258003409736692,0.2248322147651006
course_DDD,catboost,MCP,0.9412767569615458,0.9719984656693518,0.9113023952095808,0.2263686304224285,0.2594142259414226
course_DDD,catboost,IW-M,0.9113468459935594,0.9382431914077484,0.8851047904191617,0.3167266527751468,0.2799043062200957
temporal_B,logistic,MCP,0.8757970612697532,0.8370091447014524,0.9170480549199084,0.4247296922650402,0.2924281984334204
temporal_B,logistic,IW-M,0.8965899639589686,0.8773534158149543,0.9170480549199084,0.3745494871084003,0.2760917838638045
temporal_B,catboost,MCP,0.9007485444968116,0.8746637977407208,0.9284897025171625,0.3498752425838647,0.2836767036450079
temporal_B,catboost,IW-M,0.9007485444968116,0.8746637977407208,0.9284897025171625,0.3498752425838647,0.2836767036450079
temporal_J,logistic,MCP,0.9535659669122758,0.9466336410718308,0.9647529069767442,0.1911580703461698,0.2429090909090909
temporal_J,logistic,IW-M,0.9535659669122758,0.9466336410718308,0.9647529069767442,0.1911580703461698,0.2429090909090909
temporal_J,catboost,MCP,0.9619074099819268,0.9691510920963748,0.950218023255814,0.1855971082997358,0.2052434456928838
temporal_J,catboost,IW-M,0.9619074099819268,0.9691510920963748,0.950218023255814,0.1855971082997358,0.2052434456928838
