Setting,Policy,Auto,Error,Missed failure fraction
course_1,confidence,0.2833333333333333,0.3247526858844804,0.0688857331733712
course_1,random,0.2833333333333333,0.3885714285714285,0.1076885880077369
course_1,singleton,0.2833333333333333,0.3042016806722689,0.0880077369439071
course_2,confidence,0.2646788990825688,0.2619194398241308,0.1368433980393148
course_2,random,0.2646788990825688,0.3720183486238527,0.1558443033349461
course_2,singleton,0.2646788990825688,0.2755632582322357,0.1097954790096878
iid,confidence,0.0771028037383177,0.2272727272727272,0.0051020408163265
iid,random,0.0771028037383177,0.3633177570093457,0.0295036238794583
iid,singleton,0.0771028037383177,0.2272727272727272,0.0051020408163265
temporal_1,confidence,0.4725829725829726,0.3145038167938931,0.177391304347826
temporal_1,random,0.4725829725829726,0.3845598845598849,0.2251960599786686
temporal_1,singleton,0.4725829725829726,0.3145038167938931,0.177391304347826
temporal_2,confidence,0.5303788420300214,0.330188679245283,0.3846153846153846
temporal_2,random,0.5303788420300214,0.3531093638313081,0.3197260209411746
temporal_2,singleton,0.5303788420300214,0.330188679245283,0.3846153846153846
