setting,partition,N,Failures
course_1,calibrator_fit,272,116
course_1,conformal_score,273,116
course_1,test,2100,1034
course_1,train,1635,697
course_2,calibrator_fit,262,129
course_2,conformal_score,263,130
course_2,test,2180,929
course_2,train,1575,775
iid,calibrator_fit,428,197
iid,conformal_score,428,196
iid,test,856,392
iid,train,2568,1178
temporal_1,calibrator_fit,186,93
temporal_1,conformal_score,187,94
temporal_1,test,1386,575
temporal_1,train,1122,564
temporal_2,calibrator_fit,360,166
temporal_2,conformal_score,360,165
temporal_2,test,1399,637
temporal_2,train,2161,995
