Setting,Model,AUC,AP,Brier,ECE
IID,CatBoost,0.7001286505981703,0.6487938970903439,0.2187145574210598,0.0348710491172102
IID,Logistic,0.6944933145672062,0.6330739254654256,0.2219862303452213,0.0422215884428432
Temporal-1,CatBoost,0.578189031255026,0.4810578338456833,0.2539956297506867,0.0970427193285435
Temporal-1,Logistic,0.6441859218356297,0.5369139315498053,0.232335408058528,0.0541371799278195
Temporal-2,CatBoost,0.6527810397326708,0.6329934356987249,0.2636738921746816,0.1766074941649801
Temporal-2,Logistic,0.6962797232763487,0.6554414314518011,0.2333537183072395,0.1088163994427604
Course-1,CatBoost,0.6125558406305682,0.5812799206457275,0.251884739584929,0.0858057777733001
Course-1,Logistic,0.6414351087418031,0.6239375577299129,0.2440180760025719,0.0861861848994064
Course-2,CatBoost,0.5712046078960298,0.4754528311821097,0.2575834906092061,0.0975755100591103
Course-2,Logistic,0.6523177582799207,0.5523274026805873,0.2294089018577114,0.0221458414619568
