Setting,Method,Mean coverage,Min,Max,Mean error
course_1,MCP,0.9116190476190476,0.87,0.9661904761904762,0.3288497205947406
course_1,IW-M,0.9243809523809524,0.9052380952380952,0.9438095238095238,0.3281293332703278
course_2,MCP,0.933211009174312,0.9146788990825688,0.969724770642202,0.2876167677512702
course_2,IW-M,0.9430275229357798,0.8885321100917432,0.9743119266055046,0.3071849964463474
iid,MCP,0.9537383177570092,0.9228971962616822,0.980140186915888,0.2539081274928526
iid,IW-M,0.9609813084112148,0.9228971962616822,0.9824766355140186,0.2422198158045409
temporal_1,MCP,0.9092352092352092,0.873015873015873,0.9408369408369408,0.2678561834484167
temporal_1,IW-M,0.9082251082251082,0.8513708513708513,0.9487734487734488,0.314643990393643
temporal_2,MCP,0.8440314510364546,0.8162973552537527,0.8920657612580415,0.3023898220740067
temporal_2,IW-M,0.8178699070764832,0.775553967119371,0.8620443173695497,0.3144317044027793
