setting,model,metric,independent,batch,delta,minimum,maximum
course_1,catboost,observed_coverage,0.9363809523809523,0.9363809523809523,0.0,0.0,0.0
course_1,catboost,pass_coverage,0.9012389380530973,0.9012389380530973,0.0,0.0,0.0
course_1,catboost,fail_coverage,0.9773195876288661,0.9773195876288661,0.0,0.0,0.0
course_1,catboost,automatic_coverage,0.15828571428571428,0.15828571428571428,0.0,0.0,0.0
course_1,catboost,automatic_error_rate,0.3885388534824474,0.3885388534824474,0.0,0.0,0.0
course_1,logistic,observed_coverage,0.9419047619047619,0.9310476190476191,0.010857142857142853,0.0,0.05428571428571427
course_1,logistic,pass_coverage,0.9684955752212389,0.9483185840707964,0.02017699115044245,0.0,0.10088495575221224
course_1,logistic,fail_coverage,0.9109278350515464,0.9109278350515464,0.0,0.0,0.0
course_1,logistic,automatic_coverage,0.19999999999999998,0.22323809523809518,-0.02323809523809524,-0.1161904761904762,0.0
course_1,logistic,automatic_error_rate,0.2884842697315411,0.31125904450631586,-0.022774774774774777,-0.11387387387387388,0.0
course_2,catboost,observed_coverage,0.9554128440366974,0.9590825688073394,-0.0036697247706422463,-0.031192660550458773,0.01284403669724754
course_2,catboost,pass_coverage,0.9387149917627677,0.9453047775947281,-0.006589785831960437,-0.05601317957166396,0.023064250411861775
course_2,catboost,fail_coverage,0.9763975155279503,0.9763975155279503,0.0,0.0,0.0
course_2,catboost,automatic_coverage,0.11211009174311921,0.1058715596330275,0.006238532110091721,-0.034862385321101,0.06605504587155961
course_2,catboost,automatic_error_rate,0.38437736257188587,0.39196329207653624,-0.007585929504650363,-0.05387861084063619,0.01594896331738438
course_2,logistic,observed_coverage,0.9629357798165138,0.9486238532110092,0.014311926605504599,0.0,0.03944954128440381
course_2,logistic,pass_coverage,0.9719934102141682,0.957825370675453,0.014168039538714993,0.0,0.07084019769357497
course_2,logistic,fail_coverage,0.9515527950310559,0.9370600414078675,0.014492753623188404,0.0,0.07246376811594202
course_2,logistic,automatic_coverage,0.13302752293577977,0.18715596330275228,-0.054128440366972494,-0.16788990825688077,0.0
course_2,logistic,automatic_error_rate,0.3041990831381699,0.2886635300849486,0.015535553053221301,-0.03872612604553388,0.11640389131164039
iid,catboost,observed_coverage,0.9658878504672896,0.9658878504672896,0.0,0.0,0.0
iid,catboost,pass_coverage,0.9653679653679654,0.9653679653679654,0.0,0.0,0.0
iid,catboost,fail_coverage,0.9664974619289339,0.9664974619289339,0.0,0.0,0.0
iid,catboost,automatic_coverage,0.16495327102803733,0.16495327102803733,0.0,0.0,0.0
iid,catboost,automatic_error_rate,0.20368426423500993,0.20368426423500993,0.0,0.0,0.0
iid,logistic,observed_coverage,0.9621495327102803,0.9654205607476634,-0.0032710280373831726,-0.016355140186915862,0.0
iid,logistic,pass_coverage,0.9497835497835497,0.9558441558441558,-0.006060606060606055,-0.030303030303030276,0.0
iid,logistic,fail_coverage,0.9766497461928936,0.9766497461928936,0.0,0.0,0.0
iid,logistic,automatic_coverage,0.15373831775700927,0.14532710280373826,0.008411214953271018,0.0,0.04205607476635509
iid,logistic,automatic_error_rate,0.22995862521458044,0.22724746775889743,0.0027111574556829996,0.0,0.013555787278414999
temporal_1,catboost,observed_coverage,0.9217893217893218,0.9217893217893218,0.0,0.0,0.0
temporal_1,catboost,pass_coverage,0.9227053140096618,0.9227053140096618,0.0,0.0,0.0
temporal_1,catboost,fail_coverage,0.9204301075268818,0.9204301075268818,0.0,0.0,0.0
temporal_1,catboost,automatic_coverage,0.21067821067821063,0.21067821067821063,0.0,0.0,0.0
temporal_1,catboost,automatic_error_rate,0.3699638876912951,0.3699638876912951,0.0,0.0,0.0
temporal_1,logistic,observed_coverage,0.9168831168831169,0.9168831168831169,0.0,0.0,0.0
temporal_1,logistic,pass_coverage,0.9420289855072465,0.9420289855072465,0.0,0.0,0.0
temporal_1,logistic,fail_coverage,0.8795698924731182,0.8795698924731182,0.0,0.0,0.0
temporal_1,logistic,automatic_coverage,0.2955266955266955,0.2955266955266955,0.0,0.0,0.0
temporal_1,logistic,automatic_error_rate,0.2926202044000095,0.2926202044000095,0.0,0.0,0.0
temporal_2,catboost,observed_coverage,0.8628571428571428,0.8628571428571428,0.0,0.0,0.0
temporal_2,catboost,pass_coverage,0.9870270270270269,0.9870270270270269,0.0,0.0,0.0
temporal_2,catboost,fail_coverage,0.7236363636363636,0.7236363636363636,0.0,0.0,0.0
temporal_2,catboost,automatic_coverage,0.4308571428571429,0.4308571428571429,0.0,0.0,0.0
temporal_2,catboost,automatic_error_rate,0.28059477803142696,0.28059477803142696,0.0,0.0,0.0
temporal_2,logistic,observed_coverage,0.8320000000000001,0.8154285714285715,0.01657142857142855,0.0,0.0685714285714285
temporal_2,logistic,pass_coverage,0.9789189189189189,0.9735135135135135,0.005405405405405439,0.0,0.027027027027027195
temporal_2,logistic,fail_coverage,0.6672727272727272,0.6381818181818182,0.0290909090909091,0.0,0.1454545454545455
temporal_2,logistic,automatic_coverage,0.5225714285714286,0.5605714285714287,-0.038,-0.12285714285714289,0.0
temporal_2,logistic,automatic_error_rate,0.31896732931069727,0.3270916545944754,-0.008124325283778166,-0.05040844400112132,0.00978681758223049
