Setting,Model,Batch cov.,Indep. cov.,Batch err.,Indep. err.
IID,Logistic,0.9654205607476634,0.9621495327102804,0.2272474677588974,0.2299586252145804
IID,CatBoost,0.9658878504672896,0.9658878504672896,0.2036842642350099,0.2036842642350099
Temporal-1,Logistic,0.9168831168831169,0.9168831168831169,0.2926202044000095,0.2926202044000095
Temporal-1,CatBoost,0.9217893217893218,0.9217893217893218,0.3699638876912951,0.3699638876912951
Temporal-2,Logistic,0.8154285714285715,0.8320000000000001,0.3270916545944754,0.3189673293106972
Temporal-2,CatBoost,0.8628571428571428,0.8628571428571428,0.2805947780314269,0.2805947780314269
Course-1,Logistic,0.9310476190476192,0.941904761904762,0.3112590445063158,0.2884842697315411
Course-1,CatBoost,0.9363809523809524,0.9363809523809524,0.3885388534824474,0.3885388534824474
Course-2,Logistic,0.9486238532110092,0.9629357798165138,0.2886635300849486,0.3041990831381699
Course-2,CatBoost,0.9590825688073394,0.9554128440366974,0.3919632920765362,0.3843773625718858
