Setting,Cal.,Brier,Slope,Intercept,MCP fail,EIQ fail
IID,none,0.2211448815783186,0.8914114547314881,0.0122198881169531,0.9209183673469388,0.920408163265306
IID,platt,0.2217064135048422,1.2260505988028203,0.0328852426816107,0.9209183673469388,0.920408163265306
IID,isotonic,0.2240813418512353,0.6072010546860774,-0.0502005633760518,0.9607142857142856,0.9607142857142856
Temporal-1,none,0.2502393916737036,0.3944358841648722,-0.2870586242239917,0.8800000000000001,0.8194782608695652
Temporal-1,platt,0.2414202561569337,1.0146212837626272,-0.2978215711921473,0.8800000000000001,0.8194782608695652
Temporal-1,isotonic,0.2448703885090306,0.3385994891378768,-0.3294964015788985,0.9568695652173912,0.9193043478260868
Temporal-2,none,0.2606357001335606,0.4991741144213562,0.4637056784242014,0.5808477237048666,0.6172684458398744
Temporal-2,platt,0.2401252407753345,0.8496997358295559,0.4708845421053286,0.5808477237048666,0.6172684458398744
Temporal-2,isotonic,0.2547139692694224,0.1498798138364516,0.0776018198612913,0.6383045525902669,0.713657770800628
Course-1,none,0.252558439765064,0.4268459931641193,-0.106373674059192,0.9638297872340426,0.9119922630560928
Course-1,platt,0.2428571063717866,0.6883949725716404,-0.0528002012983523,0.9638297872340426,0.9119922630560928
Course-1,isotonic,0.2505076930351596,0.1982051614060314,-0.0842269939488171,0.9829787234042554,0.972147001934236
Course-2,none,0.2466840099206306,0.421604440630381,-0.1852838831033147,0.8796555435952638,0.8930032292787944
Course-2,platt,0.2421473510377122,0.6645228041405933,-0.2117389200188789,0.8796555435952638,0.8930032292787944
Course-2,isotonic,0.2475003507293144,0.2557409461466498,-0.238478587616065,0.9466092572658772,0.9705059203444564
