Setting,Cal.,Brier,Slope,Intercept,MCP fail,EIQ fail
IID,none,0.222873658175692,1.111027696846807,-0.1734655486147908,0.935204081632653,0.9316326530612244
IID,platt,0.2219526725971531,1.1733545350135,0.0147860008150311,0.935204081632653,0.9316326530612244
IID,isotonic,0.224168218665764,0.632181270532195,-0.0745038576559029,0.9683673469387756,0.9683673469387756
Temporal-1,none,0.2304654677992655,0.6136132872352565,-0.1124278231272961,0.798608695652174,0.8198260869565217
Temporal-1,platt,0.2283450811387974,0.8074804429806065,-0.1125587191970912,0.798608695652174,0.8198260869565217
Temporal-1,isotonic,0.2375505425344216,0.2086848996747084,-0.201157197234153,0.8128695652173914,0.8772173913043477
Temporal-2,none,0.2429670582101104,0.4981509900957466,0.3200245317247731,0.6081632653061224,0.5952904238618524
Temporal-2,platt,0.2400751606301089,0.8284133249509245,0.4296678043981072,0.6081632653061224,0.5952904238618524
Temporal-2,isotonic,0.2546499520148169,0.1041622895678154,0.1915311651195263,0.6778649921507064,0.6411302982731554
Course-1,none,0.2464195664438479,0.5397624702600334,-0.2036714156849345,0.9100580270793036,0.8562862669245648
Course-1,platt,0.2376981837722164,0.6747354112748326,-0.0081762301802339,0.9100580270793036,0.8562862669245648
Course-1,isotonic,0.2447319157812723,0.2002033947307342,-0.0678675662634612,0.9686653771760154,0.8998065764023211
Course-2,none,0.2292877475831495,0.7482924913771177,-0.01284952061355,0.8178686759956942,0.8960172228202369
Course-2,platt,0.2293403095545705,0.8801794941891682,3.6449358068576034e-05,0.8178686759956942,0.8960172228202369
Course-2,isotonic,0.2354508292812625,0.330985250085561,-0.1173631886859416,0.8796555435952638,0.9248654467169
