setting,model,calibration,method,observed_coverage,fail_coverage,automatic_error_rate,brier,ece,calibration_slope,calibration_intercept
course_1,catboost,isotonic,EIQ-batch,0.9391428571428572,0.9721470019342361,0.35802867877338473,,,,
course_1,catboost,isotonic,EQ,0.9304761904761903,0.9829787234042554,0.3691829518033515,,,,
course_1,catboost,isotonic,MCP,0.9304761904761903,0.9829787234042554,0.3691829518033515,,,,
course_1,catboost,isotonic,probability,,,,0.2505076930351596,0.07219662315082126,0.1982051614060314,-0.08422699394881714
course_1,catboost,none,EIQ-batch,0.8799047619047619,0.9119922630560928,0.36243865781303325,,,,
course_1,catboost,none,EQ,0.8551428571428572,0.9589941972920697,0.39035835576104144,,,,
course_1,catboost,none,MCP,0.865904761904762,0.9638297872340426,0.38651025856564375,,,,
course_1,catboost,none,probability,,,,0.252558439765064,0.0927303572346839,0.42684599316411936,-0.10637367405919207
course_1,catboost,platt,EIQ-batch,0.8799047619047619,0.9119922630560928,0.36243865781303325,,,,
course_1,catboost,platt,EQ,0.8551428571428572,0.9589941972920697,0.39035835576104144,,,,
course_1,catboost,platt,MCP,0.865904761904762,0.9638297872340426,0.38651025856564375,,,,
course_1,catboost,platt,probability,,,,0.24285710637178667,0.041206556102745415,0.6883949725716404,-0.052800201298352355
course_1,logistic,isotonic,EIQ-batch,0.9243809523809524,0.8998065764023211,0.3281293332703278,,,,
course_1,logistic,isotonic,EQ,0.8963809523809523,0.9686653771760154,0.3425465365811111,,,,
course_1,logistic,isotonic,MCP,0.9116190476190476,0.9686653771760154,0.3288497205947406,,,,
course_1,logistic,isotonic,probability,,,,0.24473191578127235,0.07152899692327111,0.20020339473073429,-0.0678675662634612
course_1,logistic,none,EIQ-batch,0.8967619047619048,0.8562862669245648,0.3217128802893423,,,,
course_1,logistic,none,EQ,0.831047619047619,0.9038684719535783,0.35709680225140283,,,,
course_1,logistic,none,MCP,0.8423809523809525,0.9100580270793037,0.35207801794619137,,,,
course_1,logistic,none,probability,,,,0.24641956644384794,0.10025941831867129,0.5397624702600334,-0.20367141568493458
course_1,logistic,platt,EIQ-batch,0.8967619047619048,0.8562862669245648,0.3217128802893423,,,,
course_1,logistic,platt,EQ,0.831047619047619,0.9038684719535783,0.35709680225140283,,,,
course_1,logistic,platt,MCP,0.8423809523809525,0.9100580270793037,0.35207801794619137,,,,
course_1,logistic,platt,probability,,,,0.23769818377221646,0.03899576023350834,0.6747354112748326,-0.00817623018023394
course_2,catboost,isotonic,EIQ-batch,0.9561467889908257,0.9705059203444565,0.39605514546679854,,,,
course_2,catboost,isotonic,EQ,0.9516513761467891,0.9466092572658773,0.3832018970380817,,,,
course_2,catboost,isotonic,MCP,0.9516513761467891,0.9466092572658773,0.3832018970380817,,,,
course_2,catboost,isotonic,probability,,,,0.24750035072931445,0.07415713466003598,0.2557409461466498,-0.23847858761606505
course_2,catboost,none,EIQ-batch,0.903302752293578,0.8930032292787944,0.3838211754649126,,,,
course_2,catboost,none,EQ,0.9057798165137616,0.872551130247578,0.3685473977185929,,,,
course_2,catboost,none,MCP,0.9121100917431193,0.8796555435952638,0.36819837273235867,,,,
course_2,catboost,none,probability,,,,0.2466840099206306,0.07567329027306115,0.42160444063038105,-0.18528388310331473
course_2,catboost,platt,EIQ-batch,0.903302752293578,0.8930032292787944,0.3838211754649126,,,,
course_2,catboost,platt,EQ,0.9057798165137616,0.872551130247578,0.3685473977185929,,,,
course_2,catboost,platt,MCP,0.9121100917431193,0.8796555435952638,0.36819837273235867,,,,
course_2,catboost,platt,probability,,,,0.2421473510377122,0.059428918808584454,0.6645228041405933,-0.2117389200188789
course_2,logistic,isotonic,EIQ-batch,0.9430275229357798,0.9248654467168999,0.30718499644634745,,,,
course_2,logistic,isotonic,EQ,0.9246788990825688,0.8596340150699678,0.26686735043220017,,,,
course_2,logistic,isotonic,MCP,0.933211009174312,0.8796555435952638,0.28761676775127026,,,,
course_2,logistic,isotonic,probability,,,,0.23545082928126254,0.06660951890870917,0.33098525008556107,-0.11736318868594164
course_2,logistic,none,EIQ-batch,0.9233027522935779,0.8960172228202369,0.28509938236082444,,,,
course_2,logistic,none,EQ,0.9011926605504588,0.8146393972012917,0.2812267610430621,,,,
course_2,logistic,none,MCP,0.9037614678899082,0.8178686759956942,0.279185772144394,,,,
course_2,logistic,none,probability,,,,0.22928774758314957,0.0327212455723864,0.7482924913771177,-0.012849520613550058
course_2,logistic,platt,EIQ-batch,0.9233027522935779,0.8960172228202369,0.28509938236082444,,,,
course_2,logistic,platt,EQ,0.9011926605504588,0.8146393972012917,0.2812267610430621,,,,
course_2,logistic,platt,MCP,0.9037614678899082,0.8178686759956942,0.279185772144394,,,,
course_2,logistic,platt,probability,,,,0.22934030955457058,0.030358821071615062,0.8801794941891682,3.6449358068576034e-05
iid,catboost,isotonic,EIQ-batch,0.9616822429906542,0.9607142857142857,0.2185834736688667,,,,
iid,catboost,isotonic,EQ,0.9616822429906542,0.9607142857142857,0.2185834736688667,,,,
iid,catboost,isotonic,MCP,0.9616822429906542,0.9607142857142857,0.2185834736688667,,,,
iid,catboost,isotonic,probability,,,,0.2240813418512353,0.03234177853717348,0.6072010546860774,-0.05020056337605182
iid,catboost,none,EIQ-batch,0.9254672897196261,0.9204081632653061,0.24208209917586404,,,,
iid,catboost,none,EQ,0.9228971962616823,0.9198979591836733,0.24314186262200294,,,,
