setting,model,method,metric,balanced,unweighted,delta,minimum,maximum
course_1,catboost,EIQ-batch,observed_coverage,0.9165714285714284,0.939142857142857,-0.022571428571428596,-0.04238095238095241,0.012857142857142678
course_1,catboost,EIQ-batch,pass_coverage,0.8726078799249531,0.9071294559099436,-0.03452157598499066,-0.11257035647279556,0.026266416510318913
course_1,catboost,EIQ-batch,fail_coverage,0.9618955512572533,0.9721470019342361,-0.010251450676982632,-0.05029013539651839,0.029980657640231945
course_1,catboost,EIQ-batch,automatic_coverage,0.22666666666666666,0.1676190476190476,0.05904761904761906,-0.02523809523809528,0.09904761904761902
course_1,catboost,EIQ-batch,automatic_error_rate,0.36784630639348925,0.35802867877338473,0.009817627620104541,-0.011994002998500786,0.03635804604327608
course_1,catboost,EQ,observed_coverage,0.9134285714285714,0.9304761904761903,-0.01704761904761907,-0.08666666666666656,0.02619047619047632
course_1,catboost,EQ,pass_coverage,0.8407129455909944,0.8795497185741088,-0.03883677298311448,-0.1707317073170732,0.05065666041275796
course_1,catboost,EQ,fail_coverage,0.9883945841392648,0.9829787234042554,0.005415860735009636,-0.0029013539651837617,0.029980657640231945
course_1,catboost,EQ,automatic_coverage,0.22838095238095235,0.18352380952380948,0.04485714285714286,-0.06285714285714289,0.2242857142857143
course_1,catboost,EQ,automatic_error_rate,0.376704645372634,0.3691829518033514,0.007521693569282495,-0.011994002998500786,0.03635804604327608
course_1,catboost,MCP,observed_coverage,0.9226666666666666,0.9304761904761903,-0.007809523809523822,-0.04238095238095241,0.02619047619047632
course_1,catboost,MCP,pass_coverage,0.8589118198874297,0.8795497185741088,-0.0206378986866792,-0.11257035647279556,0.05065666041275796
course_1,catboost,MCP,fail_coverage,0.9883945841392648,0.9829787234042554,0.005415860735009636,-0.0029013539651837617,0.029980657640231945
course_1,catboost,MCP,automatic_coverage,0.2055238095238095,0.18352380952380948,0.022,-0.06285714285714289,0.11
course_1,catboost,MCP,automatic_error_rate,0.3732865676090064,0.3691829518033514,0.004103615805655015,-0.011994002998500786,0.03635804604327608
course_1,logistic,EIQ-batch,observed_coverage,0.9243809523809524,0.9377142857142857,-0.01333333333333333,-0.059523809523809534,0.0
course_1,logistic,EIQ-batch,pass_coverage,0.9482176360225141,0.972045028142589,-0.023827392120074987,-0.11726078799249517,0.0
course_1,logistic,EIQ-batch,fail_coverage,0.899806576402321,0.9023210831721471,-0.0025145067698259193,-0.010638297872340385,0.0
course_1,logistic,EIQ-batch,automatic_coverage,0.23199999999999998,0.1931428571428571,0.03885714285714288,-0.0014285714285713902,0.1680952380952381
course_1,logistic,EIQ-batch,automatic_error_rate,0.3281293332703278,0.3192589290414902,0.008870404228837569,-0.0036307419142520003,0.04616141732283474
course_1,logistic,EQ,observed_coverage,0.8963809523809523,0.9067619047619047,-0.010380952380952402,-0.07047619047619058,0.043333333333333335
course_1,logistic,EQ,pass_coverage,0.8262664165103188,0.8508442776735461,-0.024577861163227042,-0.13883677298311425,0.054409005628517804
course_1,logistic,EQ,fail_coverage,0.9686653771760156,0.9644100580270794,0.004255319148936176,-0.010638297872340385,0.03191489361702127
course_1,logistic,EQ,automatic_coverage,0.29714285714285715,0.269047619047619,0.028095238095238107,-0.109047619047619,0.1771428571428571
course_1,logistic,EQ,automatic_error_rate,0.3425465365811111,0.3326978779929657,0.009848658588145409,-0.011400225388392526,0.06640570109404798
course_1,logistic,MCP,observed_coverage,0.9116190476190477,0.9126666666666667,-0.001047619047619075,-0.026666666666666616,0.013809523809523827
course_1,logistic,MCP,pass_coverage,0.8562851782363978,0.8624765478424015,-0.006191369606003772,-0.04221388367729839,0.010318949343339434
course_1,logistic,MCP,fail_coverage,0.9686653771760156,0.9644100580270794,0.004255319148936176,-0.010638297872340385,0.03191489361702127
course_1,logistic,MCP,automatic_coverage,0.25895238095238093,0.2552380952380952,0.0037142857142857173,-0.040000000000000036,0.0761904761904762
course_1,logistic,MCP,automatic_error_rate,0.3288497205947406,0.3302335010882626,-0.00138378049352198,-0.011400225388392526,0.0031908831908832314
course_2,catboost,EIQ-batch,observed_coverage,0.9423853211009174,0.9561467889908257,-0.013761467889908263,-0.09999999999999998,0.03715596330275228
course_2,catboost,EIQ-batch,pass_coverage,0.9542765787370102,0.9454836131095125,0.008792965627497918,-0.09992006394884101,0.08393285371702619
course_2,catboost,EIQ-batch,fail_coverage,0.9263724434876212,0.9705059203444565,-0.04413347685683529,-0.131324004305705,0.046286329386437175
course_2,catboost,EIQ-batch,automatic_coverage,0.1695412844036697,0.11110091743119262,0.05844036697247708,-0.08348623853211011,0.2729357798165138
course_2,catboost,EIQ-batch,automatic_error_rate,0.3406773760324686,0.3960551454667986,-0.05537776943432994,-0.1486744432661718,0.052687665124684535
course_2,catboost,EQ,observed_coverage,0.9468807339449542,0.951651376146789,-0.004770642201834896,-0.06743119266055042,0.03715596330275228
course_2,catboost,EQ,pass_coverage,0.9621103117505994,0.9553956834532376,0.00671462829736198,-0.043165467625899456,0.08393285371702619
course_2,catboost,EQ,fail_coverage,0.9263724434876212,0.9466092572658773,-0.020236813778256167,-0.1001076426264802,0.046286329386437175
course_2,catboost,EQ,automatic_coverage,0.15999999999999998,0.1295412844036697,0.030458715596330295,-0.0600917431192661,0.203211009174312
course_2,catboost,EQ,automatic_error_rate,0.3445461946134299,0.38320189703808166,-0.03865570242465185,-0.1486744432661718,0.025603186600919092
course_2,catboost,MCP,observed_coverage,0.9513761467889909,0.951651376146789,-0.00027522935779817904,-0.044954128440366836,0.03715596330275228
course_2,catboost,MCP,pass_coverage,0.9699440447641885,0.9553956834532376,0.01454836131095114,-0.02717825739408486,0.08393285371702619
course_2,catboost,MCP,fail_coverage,0.9263724434876212,0.9466092572658773,-0.020236813778256167,-0.1001076426264802,0.046286329386437175
course_2,catboost,MCP,automatic_coverage,0.14889908256880732,0.1295412844036697,0.019357798165137635,-0.0600917431192661,0.14770642201834872
course_2,catboost,MCP,automatic_error_rate,0.34081235215103406,0.38320189703808166,-0.04238954488704768,-0.1486744432661718,0.012616464137177874
course_2,logistic,EIQ-batch,observed_coverage,0.9430275229357798,0.9429357798165137,9.174311926607448e-05,-0.0004587155963302614,0.0009174311926606338
course_2,logistic,EIQ-batch,pass_coverage,0.9565147881694644,0.9568345323741007,-0.0003197442046362742,-0.0007993605115907965,0.0
course_2,logistic,EIQ-batch,fail_coverage,0.9248654467168999,0.9242195909580193,0.0006458557588804759,0.0,0.002152852529601623
course_2,logistic,EIQ-batch,automatic_coverage,0.19550458715596325,0.19596330275229357,-0.00045871559633028913,-0.002293577981651418,0.0009174311926604672
course_2,logistic,EIQ-batch,automatic_error_rate,0.30718499644634745,0.30762742981640356,-0.00044243337005610007,-0.002315963606286109,0.003047851264858209
course_2,logistic,EQ,observed_coverage,0.9246788990825687,0.9244954128440366,0.00018348623853212676,0.0,0.0009174311926606338
course_2,logistic,EQ,pass_coverage,0.9729816147082333,0.9731414868105513,-0.0001598721023181149,-0.0007993605115905744,0.0
course_2,logistic,EQ,fail_coverage,0.8596340150699676,0.8589881593110873,0.000645855758880498,0.0,0.002152852529601623
course_2,logistic,EQ,automatic_coverage,0.281743119266055,0.2826605504587155,-0.000917431192660556,-0.001834862385321101,0.0
course_2,logistic,EQ,automatic_error_rate,0.26686735043220017,0.2666756403347116,0.00019171009748857325,-0.0015451755027039993,0.0011847527472526598
