Setting,Model,Method,Coverage [CI],Error [CI]
course_DDD,CatBoost,EQ,"0.941 [0.935, 0.947]","0.259 [0.236, 0.284]"
course_DDD,CatBoost,MCP,"0.941 [0.935, 0.947]","0.259 [0.236, 0.284]"
course_DDD,CatBoost,EIQ-batch,"0.911 [0.904, 0.919]","0.280 [0.259, 0.301]"
course_DDD,Logistic,EQ,"0.964 [0.959, 0.969]","0.221 [0.194, 0.248]"
course_DDD,Logistic,MCP,"0.964 [0.959, 0.969]","0.221 [0.194, 0.248]"
course_DDD,Logistic,EIQ-batch,"0.949 [0.943, 0.955]","0.225 [0.201, 0.248]"
temporal_B,CatBoost,EQ,"0.901 [0.891, 0.910]","0.284 [0.258, 0.309]"
temporal_B,CatBoost,MCP,"0.901 [0.891, 0.910]","0.284 [0.258, 0.309]"
temporal_B,CatBoost,EIQ-batch,"0.901 [0.891, 0.910]","0.284 [0.258, 0.309]"
temporal_B,Logistic,EQ,"0.876 [0.865, 0.887]","0.292 [0.269, 0.316]"
temporal_B,Logistic,MCP,"0.876 [0.865, 0.887]","0.292 [0.269, 0.316]"
temporal_B,Logistic,EIQ-batch,"0.897 [0.886, 0.907]","0.276 [0.251, 0.301]"
temporal_J,CatBoost,EQ,"0.962 [0.957, 0.966]","0.205 [0.183, 0.227]"
temporal_J,CatBoost,MCP,"0.962 [0.957, 0.966]","0.205 [0.183, 0.227]"
temporal_J,CatBoost,EIQ-batch,"0.962 [0.957, 0.966]","0.205 [0.183, 0.227]"
temporal_J,Logistic,EQ,"0.954 [0.949, 0.958]","0.243 [0.220, 0.265]"
temporal_J,Logistic,MCP,"0.954 [0.949, 0.958]","0.243 [0.220, 0.265]"
temporal_J,Logistic,EIQ-batch,"0.954 [0.949, 0.958]","0.243 [0.220, 0.265]"
