setting,seed,model,class_weight,calibration,bins,ece
course_1,7,catboost,balanced,isotonic,5,0.05992886686758873
course_1,7,catboost,balanced,isotonic,10,0.0634708182800226
course_1,7,catboost,balanced,isotonic,15,0.061712576521780825
course_1,7,catboost,balanced,none,5,0.11047077619078041
course_1,7,catboost,balanced,none,10,0.11465046575512236
course_1,7,catboost,balanced,none,15,0.11692545917739322
course_1,7,catboost,balanced,platt,5,0.039532193423805866
course_1,7,catboost,balanced,platt,10,0.047523812758483004
course_1,7,catboost,balanced,platt,15,0.045998928465382435
course_1,7,catboost,unweighted,isotonic,5,0.06392886473872715
course_1,7,catboost,unweighted,isotonic,10,0.06392886473872718
course_1,7,catboost,unweighted,isotonic,15,0.06392886473872719
course_1,7,catboost,unweighted,none,5,0.09011435848051404
course_1,7,catboost,unweighted,none,10,0.09011435848051401
course_1,7,catboost,unweighted,none,15,0.09011435848051404
course_1,7,catboost,unweighted,platt,5,0.028854000807911725
course_1,7,catboost,unweighted,platt,10,0.029384102001768046
course_1,7,catboost,unweighted,platt,15,0.030342007942568944
course_1,7,logistic,balanced,isotonic,5,0.05907271870673196
course_1,7,logistic,balanced,isotonic,10,0.059104764814217114
course_1,7,logistic,balanced,isotonic,15,0.05951283088500424
course_1,7,logistic,balanced,none,5,0.10105034319640195
course_1,7,logistic,balanced,none,10,0.10264177674218584
course_1,7,logistic,balanced,none,15,0.10535750543193491
course_1,7,logistic,balanced,platt,5,0.02356677443386484
course_1,7,logistic,balanced,platt,10,0.0262399745862184
course_1,7,logistic,balanced,platt,15,0.03634476433328634
course_1,7,logistic,unweighted,isotonic,5,0.060459468232264724
course_1,7,logistic,unweighted,isotonic,10,0.06045946823226471
course_1,7,logistic,unweighted,isotonic,15,0.060570225251946594
course_1,7,logistic,unweighted,none,5,0.05653027904522672
course_1,7,logistic,unweighted,none,10,0.05765678716171468
course_1,7,logistic,unweighted,none,15,0.060062455674286745
course_1,7,logistic,unweighted,platt,5,0.02529577097335088
course_1,7,logistic,unweighted,platt,10,0.02623848683705505
course_1,7,logistic,unweighted,platt,15,0.03762965992741307
course_1,19,catboost,balanced,isotonic,5,0.08396120055215939
course_1,19,catboost,balanced,isotonic,10,0.08519781492629118
course_1,19,catboost,balanced,isotonic,15,0.08499477566775067
course_1,19,catboost,balanced,none,5,0.13108284922641614
course_1,19,catboost,balanced,none,10,0.1310828492264161
course_1,19,catboost,balanced,none,15,0.13110828129301239
course_1,19,catboost,balanced,platt,5,0.03478512584517377
course_1,19,catboost,balanced,platt,10,0.03836302227990303
course_1,19,catboost,balanced,platt,15,0.04603191692984217
course_1,19,catboost,unweighted,isotonic,5,0.0739771295200597
course_1,19,catboost,unweighted,isotonic,10,0.07397712952005965
course_1,19,catboost,unweighted,isotonic,15,0.07397712952005966
course_1,19,catboost,unweighted,none,5,0.10271703668201419
course_1,19,catboost,unweighted,none,10,0.10650109084678415
course_1,19,catboost,unweighted,none,15,0.10723683279350989
course_1,19,catboost,unweighted,platt,5,0.046910757520234256
course_1,19,catboost,unweighted,platt,10,0.04691075752023424
course_1,19,catboost,unweighted,platt,15,0.06384718758126831
course_1,19,logistic,balanced,isotonic,5,0.08067992194809384
course_1,19,logistic,balanced,isotonic,10,0.08262290281106234
course_1,19,logistic,balanced,isotonic,15,0.08457370115888316
course_1,19,logistic,balanced,none,5,0.09513791182727649
course_1,19,logistic,balanced,none,10,0.10660272001809024
course_1,19,logistic,balanced,none,15,0.10495990889972957
course_1,19,logistic,balanced,platt,5,0.03529078875519658
course_1,19,logistic,balanced,platt,10,0.05098250827506412
course_1,19,logistic,balanced,platt,15,0.04510331832636625
course_1,19,logistic,unweighted,isotonic,5,0.07470036636579894
course_1,19,logistic,unweighted,isotonic,10,0.0907651436526343
course_1,19,logistic,unweighted,isotonic,15,0.09076514365263429
course_1,19,logistic,unweighted,none,5,0.049825282698810744
course_1,19,logistic,unweighted,none,10,0.053855876510336964
course_1,19,logistic,unweighted,none,15,0.05555382610647172
course_1,19,logistic,unweighted,platt,5,0.036987847707490126
course_1,19,logistic,unweighted,platt,10,0.04995653306193907
course_1,19,logistic,unweighted,platt,15,0.042206116056687636
course_1,42,catboost,balanced,isotonic,5,0.06753547862617496
course_1,42,catboost,balanced,isotonic,10,0.0702824396810538
course_1,42,catboost,balanced,isotonic,15,0.069802993784851
course_1,42,catboost,balanced,none,5,0.0960526785448126
course_1,42,catboost,balanced,none,10,0.10241951658987744
course_1,42,catboost,balanced,none,15,0.09945444762089187
course_1,42,catboost,balanced,platt,5,0.05149673854099268
course_1,42,catboost,balanced,platt,10,0.05149673854099259
course_1,42,catboost,balanced,platt,15,0.058951509621677695
course_1,42,catboost,unweighted,isotonic,5,0.07505855305707415
course_1,42,catboost,unweighted,isotonic,10,0.08630954077175287
course_1,42,catboost,unweighted,isotonic,15,0.0832640204735596
course_1,42,catboost,unweighted,none,5,0.08319073754658084
course_1,42,catboost,unweighted,none,10,0.08580577777330019
course_1,42,catboost,unweighted,none,15,0.08845460722736444
course_1,42,catboost,unweighted,platt,5,0.055675849047772466
course_1,42,catboost,unweighted,platt,10,0.06579792243089326
course_1,42,catboost,unweighted,platt,15,0.06117760577893812
course_1,42,logistic,balanced,isotonic,5,0.057290438423983174
course_1,42,logistic,balanced,isotonic,10,0.062409861304498576
course_1,42,logistic,balanced,isotonic,15,0.06423747399959387
course_1,42,logistic,balanced,none,5,0.07772448188908138
