setting,model,baseline,metric,estimate,lower,upper
course_DDD,catboost,mondrian_cp,coverage,-0.029929910967986362,-0.03456165259650776,-0.025126816547910387
course_DDD,catboost,mondrian_cp,fail_coverage,-0.026197604790419105,-0.03229388799367708,-0.020277691792430833
course_DDD,catboost,mondrian_cp,automatic_coverage,0.09035802235271834,0.0823543317729811,0.09773731976103214
course_DDD,catboost,mondrian_cp,automatic_error,0.020490080278673106,0.006588311895686339,0.03474895171769393
course_DDD,catboost,empirical_mondrian,coverage,-0.029929910967986362,-0.03456165259650776,-0.025126816547910387
course_DDD,catboost,empirical_mondrian,fail_coverage,-0.026197604790419105,-0.03229388799367708,-0.020277691792430833
course_DDD,catboost,empirical_mondrian,automatic_coverage,0.09035802235271834,0.0823543317729811,0.09773731976103214
course_DDD,catboost,empirical_mondrian,automatic_error,0.020490080278673106,0.006588311895686339,0.03474895171769393
course_DDD,logistic,mondrian_cp,coverage,-0.014586095851486958,-0.017909089741165733,-0.011548546532708981
course_DDD,logistic,mondrian_cp,fail_coverage,0.0,0.0,0.0
course_DDD,logistic,mondrian_cp,automatic_coverage,0.06232240954726273,0.05567101088461197,0.06902468894860847
course_DDD,logistic,mondrian_cp,automatic_error,0.0035112414163173677,-0.011296293225658147,0.018920935256605896
course_DDD,logistic,empirical_mondrian,coverage,-0.014586095851486958,-0.017909089741165733,-0.011548546532708981
course_DDD,logistic,empirical_mondrian,fail_coverage,0.0,0.0,0.0
course_DDD,logistic,empirical_mondrian,automatic_coverage,0.06232240954726273,0.05567101088461197,0.06902468894860847
course_DDD,logistic,empirical_mondrian,automatic_error,0.0035112414163173677,-0.011296293225658147,0.018920935256605896
temporal_B,catboost,mondrian_cp,coverage,0.0,0.0,0.0
temporal_B,catboost,mondrian_cp,fail_coverage,0.0,0.0,0.0
temporal_B,catboost,mondrian_cp,automatic_coverage,0.0,0.0,0.0
temporal_B,catboost,mondrian_cp,automatic_error,0.0,0.0,0.0
temporal_B,catboost,empirical_mondrian,coverage,0.0,0.0,0.0
temporal_B,catboost,empirical_mondrian,fail_coverage,0.0,0.0,0.0
temporal_B,catboost,empirical_mondrian,automatic_coverage,0.0,0.0,0.0
temporal_B,catboost,empirical_mondrian,automatic_error,0.0,0.0,0.0
temporal_B,logistic,mondrian_cp,coverage,0.02079290268921541,0.016084303937881295,0.025491825990579087
temporal_B,logistic,mondrian_cp,fail_coverage,0.0,0.0,0.0
temporal_B,logistic,mondrian_cp,automatic_coverage,-0.050180205156639845,-0.05711117271971167,-0.042706304112866154
temporal_B,logistic,mondrian_cp,automatic_error,-0.01633641456961582,-0.025321532714231935,-0.006762713444859649
temporal_B,logistic,empirical_mondrian,coverage,0.02079290268921541,0.016084303937881295,0.025491825990579087
temporal_B,logistic,empirical_mondrian,fail_coverage,0.0,0.0,0.0
temporal_B,logistic,empirical_mondrian,automatic_coverage,-0.050180205156639845,-0.05711117271971167,-0.042706304112866154
temporal_B,logistic,empirical_mondrian,automatic_error,-0.01633641456961582,-0.025321532714231935,-0.006762713444859649
temporal_J,catboost,mondrian_cp,coverage,0.0,0.0,0.0
temporal_J,catboost,mondrian_cp,fail_coverage,0.0,0.0,0.0
temporal_J,catboost,mondrian_cp,automatic_coverage,0.0,0.0,0.0
temporal_J,catboost,mondrian_cp,automatic_error,0.0,0.0,0.0
temporal_J,catboost,empirical_mondrian,coverage,0.0,0.0,0.0
temporal_J,catboost,empirical_mondrian,fail_coverage,0.0,0.0,0.0
temporal_J,catboost,empirical_mondrian,automatic_coverage,0.0,0.0,0.0
temporal_J,catboost,empirical_mondrian,automatic_error,0.0,0.0,0.0
temporal_J,logistic,mondrian_cp,coverage,0.0,0.0,0.0
temporal_J,logistic,mondrian_cp,fail_coverage,0.0,0.0,0.0
temporal_J,logistic,mondrian_cp,automatic_coverage,0.0,0.0,0.0
temporal_J,logistic,mondrian_cp,automatic_error,0.0,0.0,0.0
temporal_J,logistic,empirical_mondrian,coverage,0.0,0.0,0.0
temporal_J,logistic,empirical_mondrian,fail_coverage,0.0,0.0,0.0
temporal_J,logistic,empirical_mondrian,automatic_coverage,0.0,0.0,0.0
temporal_J,logistic,empirical_mondrian,automatic_error,0.0,0.0,0.0
