setting,model,method,metric,estimate,lower,upper,persons,enrolments
course_DDD,catboost,empirical_mondrian,coverage,0.9412767569615458,0.9348031648624154,0.9474686317539399,4997,5279
course_DDD,catboost,empirical_mondrian,fail_coverage,0.9113023952095808,0.9001083648997843,0.9215013334669347,4997,5279
course_DDD,catboost,empirical_mondrian,automatic_coverage,0.2263686304224285,0.21464808202788796,0.23778844541437524,4997,5279
course_DDD,catboost,empirical_mondrian,automatic_error,0.2594142259414226,0.23609927819825288,0.28394272775335294,4997,5279
course_DDD,catboost,mondrian_cp,coverage,0.9412767569615458,0.9348031648624154,0.9474686317539399,4997,5279
course_DDD,catboost,mondrian_cp,fail_coverage,0.9113023952095808,0.9001083648997843,0.9215013334669347,4997,5279
course_DDD,catboost,mondrian_cp,automatic_coverage,0.2263686304224285,0.21464808202788796,0.23778844541437524,4997,5279
course_DDD,catboost,mondrian_cp,automatic_error,0.2594142259414226,0.23609927819825288,0.28394272775335294,4997,5279
course_DDD,catboost,weighted_cap10,coverage,0.9113468459935594,0.9036819822413975,0.9191903898311032,4997,5279
course_DDD,catboost,weighted_cap10,fail_coverage,0.8851047904191617,0.872875018771919,0.8971492610357799,4997,5279
course_DDD,catboost,weighted_cap10,automatic_coverage,0.31672665277514683,0.3032365231172806,0.328964986614389,4997,5279
course_DDD,catboost,weighted_cap10,automatic_error,0.2799043062200957,0.25883033935114774,0.3008472511960826,4997,5279
course_DDD,logistic,empirical_mondrian,coverage,0.963818905095662,0.9587034787414811,0.9687619831667267,4997,5279
course_DDD,logistic,empirical_mondrian,fail_coverage,0.938248502994012,0.9288915500149084,0.9468133919946282,4997,5279
course_DDD,logistic,empirical_mondrian,automatic_coverage,0.16347793142640651,0.15375666862597218,0.17337225218120614,4997,5279
course_DDD,logistic,empirical_mondrian,automatic_error,0.2213209733487833,0.19402985074626866,0.24795963656157097,4997,5279
course_DDD,logistic,mondrian_cp,coverage,0.963818905095662,0.9587034787414811,0.9687619831667267,4997,5279
course_DDD,logistic,mondrian_cp,fail_coverage,0.938248502994012,0.9288915500149084,0.9468133919946282,4997,5279
course_DDD,logistic,mondrian_cp,automatic_coverage,0.16347793142640651,0.15375666862597218,0.17337225218120614,4997,5279
course_DDD,logistic,mondrian_cp,automatic_error,0.2213209733487833,0.19402985074626866,0.24795963656157097,4997,5279
course_DDD,logistic,weighted_cap10,coverage,0.9492328092441751,0.9430778924429075,0.9548560562196341,4997,5279
course_DDD,logistic,weighted_cap10,fail_coverage,0.938248502994012,0.9288915500149084,0.9468133919946282,4997,5279
course_DDD,logistic,weighted_cap10,automatic_coverage,0.22580034097366924,0.2149085595073835,0.2370866283136212,4997,5279
