setting,model,metric,mean,minimum,maximum,positive,negative,zero
course_1,catboost,observed_coverage,0.008666666666666645,-0.026666666666666727,0.06999999999999995,1,1,3
course_1,catboost,pass_coverage,0.02757973733583492,0.0,0.1378986866791746,1,0,4
course_1,catboost,fail_coverage,-0.010831721470019318,-0.05415860735009659,0.0,0,1,4
course_1,catboost,automatic_coverage,-0.015904761904761897,-0.15714285714285717,0.07761904761904768,1,1,3
course_1,catboost,automatic_error_rate,-0.011154273029966699,-0.04999999999999999,0.0,0,2,3
course_1,logistic,observed_coverage,0.028000000000000004,-0.02190476190476176,0.052857142857142825,4,1,0
course_1,logistic,pass_coverage,0.12195121951219515,0.06472795497185757,0.2045028142589118,5,0,0
course_1,logistic,fail_coverage,-0.06885880077369437,-0.12379110251450687,0.0,0,3,2
course_1,logistic,automatic_coverage,-0.06514285714285716,-0.12809523809523807,0.040476190476190416,2,3,0
course_1,logistic,automatic_error_rate,-0.014417203310783323,-0.03546577776003512,0.05493178183797759,1,4,0
course_2,catboost,observed_coverage,0.0044954128440366945,-0.028440366972476983,0.050917431192660456,1,1,3
course_2,catboost,pass_coverage,-0.009912070343725054,-0.04956035171862527,0.0,0,1,4
course_2,catboost,fail_coverage,0.023896663078579117,0.0,0.11948331539289558,1,0,4
course_2,catboost,automatic_coverage,-0.01844036697247706,-0.1619266055045872,0.06972477064220191,1,1,3
course_2,catboost,automatic_error_rate,0.012853248428716879,0.0,0.05343216142609558,2,0,3
course_2,logistic,observed_coverage,0.018348623853211076,-0.027981651376146832,0.059633027522935755,3,1,1
course_2,logistic,pass_coverage,-0.016466826538768964,-0.048760991207034476,0.0,0,2,3
course_2,logistic,fail_coverage,0.06523143164693215,0.0,0.13993541442411195,3,0,2
course_2,logistic,automatic_coverage,-0.08623853211009173,-0.2344036697247706,0.06926605504587158,1,3,1
course_2,logistic,automatic_error_rate,0.04031764601414728,-0.01440528383533568,0.11167727819282092,3,1,1
iid,catboost,observed_coverage,0.0,0.0,0.0,0,0,5
iid,catboost,pass_coverage,0.0,0.0,0.0,0,0,5
iid,catboost,fail_coverage,0.0,0.0,0.0,0,0,5
iid,catboost,automatic_coverage,0.0,0.0,0.0,0,0,5
iid,catboost,automatic_error_rate,0.0,0.0,0.0,0,0,5
iid,logistic,observed_coverage,0.007242990654205572,0.0,0.03621495327102786,1,0,4
iid,logistic,pass_coverage,0.013362068965517237,0.0,0.06681034482758619,1,0,4
iid,logistic,fail_coverage,0.0,0.0,0.0,0,0,5
iid,logistic,automatic_coverage,-0.02266355140186916,-0.11331775700934581,0.0,0,1,4
iid,logistic,automatic_error_rate,-0.010987172336865598,-0.054935861684327986,0.0,0,1,4
temporal_1,catboost,observed_coverage,-0.02813852813852813,-0.10317460317460325,0.0,0,3,2
temporal_1,catboost,pass_coverage,-0.04241676942046857,-0.17632552404438961,0.0,0,2,3
temporal_1,catboost,fail_coverage,-0.007999999999999985,-0.039999999999999925,0.0,0,1,4
temporal_1,catboost,automatic_coverage,0.05555555555555554,0.0,0.1904761904761905,3,0,2
temporal_1,catboost,automatic_error_rate,0.04007122641895834,0.0,0.15917745620715923,3,0,2
temporal_1,logistic,observed_coverage,0.005916305916305875,-0.0721500721500723,0.06926406926406925,2,1,2
temporal_1,logistic,pass_coverage,-0.041430332922318194,-0.12330456226880415,0.0,0,2,3
temporal_1,logistic,fail_coverage,0.07269565217391308,0.0,0.1965217391304348,2,0,3
temporal_1,logistic,automatic_coverage,-0.052525252525252544,-0.2402597402597403,0.1702741702741703,1,2,2
temporal_1,logistic,automatic_error_rate,0.04230185898687291,0.0,0.1415580751077365,3,0,2
temporal_2,catboost,observed_coverage,0.03145103645461047,-0.014295925661186537,0.1715511079342389,1,1,3
temporal_2,catboost,pass_coverage,-0.0052493438320210025,-0.026246719160105014,0.0,0,1,4
temporal_2,catboost,fail_coverage,0.07535321821036108,0.0,0.37676609105180536,1,0,4
temporal_2,catboost,automatic_coverage,-0.08734810578984989,-0.5153681200857756,0.07862759113652612,1,1,3
temporal_2,catboost,automatic_error_rate,-0.031528828227341946,-0.136668330599729,0.0,0,2,3
temporal_2,logistic,observed_coverage,-0.02616154395997141,-0.11651179413867052,0.045746962115796985,1,2,2
temporal_2,logistic,pass_coverage,-0.017322834645669326,-0.08661417322834664,0.0,0,1,4
temporal_2,logistic,fail_coverage,-0.03673469387755102,-0.152276295133438,0.10047095761381475,1,2,2
temporal_2,logistic,automatic_coverage,0.062473195139385276,-0.10078627591136524,0.29807005003573983,2,1,2
temporal_2,logistic,automatic_error_rate,0.01222036269593223,-0.030023640661938578,0.0488266144392413,2,1,2
