Setting,Model,AUC,AUC min,AUC max,Brier,ECE
IID,Logistic,0.6913309289232934,0.6853338318085855,0.6944933145672062,0.22287365817569205,0.042954409208040015
IID,CatBoost,0.6915508444757213,0.6837889250527798,0.7001286505981703,0.22114488157831866,0.02917554219701366
Temporal-1,Logistic,0.6484297432048465,0.6396847692060258,0.6545091942314909,0.23046546779926552,0.04523189707659274
Temporal-1,CatBoost,0.5933471291481263,0.578189031255026,0.6046684179488554,0.2502393916737036,0.0962035009178792
Temporal-2,Logistic,0.6926237242322731,0.6882202911449256,0.6972665504723998,0.2429670582101104,0.13235449442437566
Temporal-2,CatBoost,0.6773206920563501,0.6527810397326708,0.6946336378282385,0.26063570013356063,0.1808196823496368
Course-1,Logistic,0.6411848919114098,0.6382379944912379,0.6433040234285694,0.24641956644384794,0.10025941831867129
Course-1,CatBoost,0.614001981412464,0.6026324479879228,0.6263594993486016,0.252558439765064,0.0927303572346839
Course-2,Logistic,0.6561562375503257,0.6498052365427357,0.6615392293269797,0.22928774758314957,0.0327212455723864
Course-2,CatBoost,0.5991448821567074,0.5712046078960298,0.6302342410248334,0.2466840099206306,0.07567329027306115
