Setting,Method,Coverage [range],Fail [range],Auto,Error
IID,MCP,"0.962 [0.931, 0.978]","0.961 [0.936, 0.995]",0.1728971962616822,0.2185834736688667
IID,EQ,"0.962 [0.931, 0.978]","0.961 [0.936, 0.995]",0.1728971962616822,0.2185834736688667
IID,EIQ-batch,"0.962 [0.931, 0.978]","0.961 [0.936, 0.995]",0.1728971962616822,0.2185834736688667
Temporal-1,MCP,"0.959 [0.934, 0.990]","0.957 [0.904, 0.997]",0.1246753246753246,0.3378121546543994
Temporal-1,EQ,"0.947 [0.919, 0.990]","0.927 [0.847, 0.997]",0.1655122655122655,0.3283819870566341
Temporal-1,EIQ-batch,"0.919 [0.887, 0.950]","0.919 [0.807, 0.997]",0.221067821067821,0.3684532134755924
Temporal-2,MCP,"0.829 [0.785, 0.863]","0.638 [0.543, 0.725]",0.5308077197998571,0.3216236063732882
Temporal-2,EQ,"0.829 [0.785, 0.863]","0.638 [0.543, 0.725]",0.5308077197998571,0.3216236063732882
Temporal-2,EIQ-batch,"0.860 [0.785, 0.995]","0.714 [0.543, 1.000]",0.4434596140100071,0.2900947781459463
Course-1,MCP,"0.930 [0.876, 0.983]","0.983 [0.970, 0.996]",0.1835238095238094,0.3691829518033515
Course-1,EQ,"0.930 [0.876, 0.983]","0.983 [0.970, 0.996]",0.1835238095238094,0.3691829518033515
Course-1,EIQ-batch,"0.939 [0.893, 0.960]","0.972 [0.927, 0.996]",0.1676190476190475,0.3580286787733847
Course-2,MCP,"0.952 [0.908, 0.977]","0.947 [0.881, 0.991]",0.1295412844036697,0.3832018970380817
Course-2,EQ,"0.952 [0.908, 0.977]","0.947 [0.881, 0.991]",0.1295412844036697,0.3832018970380817
Course-2,EIQ-batch,"0.956 [0.933, 0.977]","0.971 [0.931, 1.000]",0.1111009174311926,0.3960551454667985
