Setting,Method,Coverage [range],Fail [range],Auto,Error
IID,MCP,"0.954 [0.923, 0.980]","0.968 [0.952, 0.995]",0.1794392523364485,0.2539081274928526
IID,EQ,"0.954 [0.923, 0.980]","0.968 [0.952, 0.995]",0.1799065420560747,0.2532069881414065
IID,EIQ-batch,"0.961 [0.923, 0.982]","0.968 [0.952, 0.995]",0.1572429906542055,0.2422198158045409
Temporal-1,MCP,"0.909 [0.873, 0.941]","0.813 [0.748, 0.870]",0.3349206349206349,0.2678561834484167
Temporal-1,EQ,"0.902 [0.873, 0.924]","0.805 [0.748, 0.870]",0.3549783549783549,0.2723421314067701
Temporal-1,EIQ-batch,"0.908 [0.851, 0.949]","0.877 [0.748, 1.000]",0.3024531024531024,0.314643990393643
Temporal-2,MCP,"0.844 [0.816, 0.892]","0.678 [0.615, 0.771]",0.5133666904932095,0.3023898220740067
Temporal-2,EQ,"0.844 [0.816, 0.892]","0.678 [0.615, 0.771]",0.5136526090064331,0.3022113417068471
Temporal-2,EIQ-batch,"0.818 [0.776, 0.862]","0.641 [0.562, 0.755]",0.5761258041458184,0.3144317044027793
Course-1,MCP,"0.912 [0.870, 0.966]","0.969 [0.912, 0.995]",0.2589523809523809,0.3288497205947406
Course-1,EQ,"0.896 [0.864, 0.958]","0.969 [0.912, 0.995]",0.2971428571428571,0.3425465365811111
Course-1,EIQ-batch,"0.924 [0.905, 0.944]","0.900 [0.842, 0.988]",0.2319999999999999,0.3281293332703278
Course-2,MCP,"0.933 [0.915, 0.970]","0.880 [0.829, 0.990]",0.2447706422018348,0.2876167677512702
Course-2,EQ,"0.925 [0.915, 0.939]","0.860 [0.829, 0.890]",0.281743119266055,0.2668673504322001
Course-2,EIQ-batch,"0.943 [0.889, 0.974]","0.925 [0.829, 1.000]",0.1955045871559632,0.3071849964463474
