Setting,Model,Unw. fail,Bal. fail,Unw. error,Bal. error
IID,Logistic,0.9693877551020408,0.9683673469387756,0.2408815258191153,0.2539081274928526
IID,CatBoost,0.9607142857142856,0.9489795918367347,0.2185834736688667,0.2224264381395582
Temporal-1,Logistic,0.8132173913043479,0.8128695652173914,0.2672114563516078,0.2678561834484167
Temporal-1,CatBoost,0.9568695652173912,0.9638260869565216,0.3378121546543994,0.3447823614557485
Temporal-2,Logistic,0.6800627943485086,0.6778649921507064,0.3014752055215395,0.3023898220740066
Temporal-2,CatBoost,0.6383045525902669,0.6759811616954474,0.3216236063732882,0.3056762859402872
Course-1,Logistic,0.9644100580270794,0.9686653771760156,0.3302335010882626,0.3288497205947406
Course-1,CatBoost,0.9829787234042554,0.9883945841392648,0.3691829518033514,0.3732865676090064
Course-2,Logistic,0.8792249730893434,0.8796555435952638,0.2873903172240873,0.2876167677512702
Course-2,CatBoost,0.9466092572658772,0.9263724434876212,0.3832018970380816,0.340812352151034
