setting,model,method,zero_activity,n_test,n_fail,failure_rate,observed_coverage,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,average_set_size,empty_set_rate,ambiguity_rate,n_automatic
course_1,catboost,EIQ-batch,0,2031.0,991.0,0.4879369768586903,0.9370753323485967,0.9048076923076923,0.970938446014127,0.17331363860167406,0.35802867877338473,1.8266863613983257,0.0,0.826686361398326,352.0
course_1,catboost,EIQ-batch,1,69.0,43.0,0.6231884057971014,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
course_1,catboost,EQ,0,2031.0,991.0,0.4879369768586903,0.9281142294436238,0.8765384615384615,0.9822401614530778,0.18975873953717382,0.3691829518033515,1.8102412604628264,0.0,0.8102412604628263,385.4
course_1,catboost,EQ,1,69.0,43.0,0.6231884057971014,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
course_1,catboost,MCP,0,2031.0,991.0,0.4879369768586903,0.9281142294436238,0.8765384615384615,0.9822401614530778,0.18975873953717382,0.3691829518033515,1.8102412604628264,0.0,0.8102412604628263,385.4
course_1,catboost,MCP,1,69.0,43.0,0.6231884057971014,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
course_1,logistic,EIQ-batch,0,2031.0,991.0,0.4879369768586903,0.9218119153126538,0.946923076923077,0.8954591321897073,0.2398818316100443,0.3281293332703278,1.7601181683899558,0.0,0.7601181683899557,487.2
course_1,logistic,EIQ-batch,1,69.0,43.0,0.6231884057971014,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
course_1,logistic,EQ,0,2031.0,991.0,0.4879369768586903,0.8928606597735106,0.821923076923077,0.9673057517658931,0.3072378138847858,0.3425465365811111,1.692762186115214,0.0,0.6927621861152142,624.0
course_1,logistic,EQ,1,69.0,43.0,0.6231884057971014,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
course_1,logistic,MCP,0,2031.0,991.0,0.4879369768586903,0.9086164451009354,0.8526923076923076,0.9673057517658931,0.2677498769079271,0.3288497205947406,1.7322501230920728,0.0,0.7322501230920728,543.8
course_1,logistic,MCP,1,69.0,43.0,0.6231884057971014,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
course_2,catboost,EIQ-batch,0,2112.0,892.0,0.42234848484848486,0.9547348484848485,0.9440983606557378,0.9692825112107624,0.1146780303030303,0.39605514546679854,1.8853219696969696,0.0,0.8853219696969697,242.2
course_2,catboost,EIQ-batch,1,68.0,37.0,0.5441176470588235,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
course_2,catboost,EQ,0,2112.0,892.0,0.42234848484848486,0.9500946969696968,0.9542622950819671,0.9443946188340806,0.1337121212121212,0.3832018970380817,1.866287878787879,0.0,0.8662878787878787,282.4
