Setting,Model,Method,N,Fail N,Cov.,Auto,Error
IID,Logistic,MCP,25,11,0.776,0.4,0.56
IID,Logistic,EIQ-batch,25,11,0.8879999999999999,0.2,0.56
IID,CatBoost,MCP,25,11,1.0,0.0,
IID,CatBoost,EIQ-batch,25,11,1.0,0.0,
Temporal-1,Logistic,MCP,48,29,1.0,0.0,
Temporal-1,Logistic,EIQ-batch,48,29,1.0,0.0,
Temporal-1,CatBoost,MCP,48,29,1.0,0.0,
Temporal-1,CatBoost,EIQ-batch,48,29,1.0,0.0,
Temporal-2,Logistic,MCP,14,12,1.0,0.0,
Temporal-2,Logistic,EIQ-batch,14,12,1.0,0.0,
Temporal-2,CatBoost,MCP,14,12,1.0,0.0,
Temporal-2,CatBoost,EIQ-batch,14,12,1.0,0.0,
Course-1,Logistic,MCP,69,43,1.0,0.0,
Course-1,Logistic,EIQ-batch,69,43,1.0,0.0,
Course-1,CatBoost,MCP,69,43,1.0,0.0,
Course-1,CatBoost,EIQ-batch,69,43,1.0,0.0,
Course-2,Logistic,MCP,68,37,1.0,0.0058823529411764,0.0
Course-2,Logistic,EIQ-batch,68,37,0.8176470588235294,0.4,0.3061896400351185
Course-2,CatBoost,MCP,68,37,1.0,0.0,
Course-2,CatBoost,EIQ-batch,68,37,1.0,0.0,
