setting,model,calibration,method,course,seed,nominal_coverage,observed_coverage,coverage_gap,average_set_size,singleton_rate,ambiguity_rate,empty_set_rate,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,deferral_rate,n_automatic,undercoverage,overcoverage,n_test,n_pass,n_fail,coverage_ci_lower,coverage_ci_upper,pass_ci_lower,pass_ci_upper,fail_ci_lower,fail_ci_upper,automatic_error_ci_lower,automatic_error_ci_upper,automatic_false_negative_fraction,automatic_false_positive_fraction,review_fraction
temporal_1,catboost,isotonic,EIQ-batch,Accountancy,7,0.9,0.9673758865248226,0.06737588652482263,1.899290780141844,0.10070921985815603,0.8992907801418439,0.0,0.959079283887468,0.9777070063694268,0.10070921985815603,0.323943661971831,0.8992907801418439,71,0.0,0.06737588652482263,705,391,314,0.9515220193877344,0.9781640081428563,0.9345683961725177,0.9746572993060048,0.9547065873125636,0.9891602106599465,0.2265721171064956,0.4393884294417052,0.022292993630573247,0.04092071611253197,0.8992907801418439
temporal_1,catboost,isotonic,EIQ-batch,Accountancy,19,0.9,0.9276595744680851,0.02765957446808509,1.7900709219858155,0.2099290780141844,0.7900709219858156,0.0,0.9718670076726342,0.8726114649681529,0.2099290780141844,0.34459459459459457,0.7900709219858156,148,0.0,0.02765957446808509,705,391,314,0.9061312846065736,0.9445525918743768,0.950332580743966,0.9842197357785265,0.831178681669236,0.905037420749322,0.2728344226229872,0.4242180137980808,0.12738853503184713,0.028132992327365727,0.7900709219858156
temporal_1,catboost,isotonic,EIQ-batch,Accountancy,42,0.9,0.8822695035460993,0.01773049645390068,1.750354609929078,0.24964539007092199,0.750354609929078,0.0,0.7877237851662404,1.0,0.24964539007092199,0.4715909090909091,0.750354609929078,176,0.01773049645390068,0.0,705,391,314,0.8563818992375304,0.9040138046152596,0.7444931792073082,0.8253557942820167,0.9879139152112274,1.0000000000000002,0.39923752747436225,0.5451579413703929,0.0,0.21227621483375958,0.750354609929078
temporal_1,catboost,isotonic,EIQ-batch,Accountancy,73,0.9,0.9276595744680851,0.02765957446808509,1.747517730496454,0.2524822695035461,0.7475177304964539,0.0,0.928388746803069,0.9267515923566879,0.2524822695035461,0.28651685393258425,0.7475177304964539,178,0.0,0.02765957446808509,705,391,314,0.9061312846065736,0.9445525918743768,0.898448967794005,0.9499928371789895,0.8924898317592519,0.9506978410961905,0.225156567575984,0.3568969394026402,0.0732484076433121,0.07161125319693094,0.747517730496454
temporal_1,catboost,isotonic,EIQ-batch,Accountancy,101,0.9,0.9602836879432625,0.06028368794326244,1.8709219858156028,0.12907801418439716,0.8709219858156029,0.0,0.9335038363171355,0.9936305732484076,0.12907801418439716,0.3076923076923077,0.8709219858156029,91,0.0,0.06028368794326244,705,391,314,0.9431978024440473,0.9723806981133936,0.9043519616177298,0.9542204917728527,0.9770774925165568,0.9982515320550371,0.22226810686646445,0.4086949715677203,0.006369426751592357,0.06649616368286446,0.8709219858156029
temporal_1,catboost,isotonic,EIQ-batch,Global economics,7,0.9,0.9001468428781204,0.0001468428781203901,1.7342143906020557,0.2657856093979442,0.7342143906020558,0.0,0.9285714285714286,0.8544061302681992,0.2657856093979442,0.3756906077348066,0.7342143906020558,181,0.0,0.0001468428781203901,681,420,261,0.8753365658433419,0.9204680586875635,0.8998630370759932,0.9495111628941371,0.8064781480688554,0.8920529687124137,0.3084089078155917,0.448139215710893,0.14559386973180077,0.07142857142857142,0.7342143906020557
temporal_1,catboost,isotonic,EIQ-batch,Global economics,19,0.9,0.8766519823788547,0.023348017621145356,1.619676945668135,0.3803230543318649,0.6196769456681351,0.0,0.969047619047619,0.7279693486590039,0.3803230543318649,0.32432432432432434,0.6196769456681351,259,0.023348017621145356,0.0,681,420,261,0.8498205802497978,0.8992579011893849,0.9477692774870852,0.9818235969246685,0.6709662590199279,0.7783591620447805,0.27024097890068854,0.38354271105334337,0.2720306513409962,0.030952380952380953,0.619676945668135
temporal_1,catboost,isotonic,EIQ-batch,Global economics,42,0.9,0.8913362701908958,0.008663729809104237,1.813509544787078,0.18649045521292218,0.8135095447870778,0.0,0.8285714285714286,0.9923371647509579,0.18649045521292218,0.5826771653543307,0.8135095447870778,127,0.008663729809104237,0.0,681,420,261,0.8657294267340693,0.9125528941374402,0.789590028615996,0.8615968580277706,0.9724958230538083,0.9978960526909819,0.4957210098262528,0.6647785763850147,0.007662835249042145,0.17142857142857143,0.8135095447870778
temporal_1,catboost,isotonic,EIQ-batch,Global economics,73,0.9,0.9118942731277533,0.011894273127753263,1.7459618208516887,0.2540381791483113,0.7459618208516887,0.0,0.9333333333333333,0.8773946360153256,0.2540381791483113,0.3468208092485549,0.7459618208516887,173,0.0,0.011894273127753263,681,420,261,0.8882295970889931,0.9309380989877738,0.9053356954475599,0.9534759956333497,0.832042201921033,0.9117990413541563,0.27991985537798836,0.42037666811010044,0.12260536398467432,0.06666666666666667,0.7459618208516887
temporal_1,catboost,isotonic,EIQ-batch,Global economics,101,0.9,0.9397944199706314,0.03979441997063138,1.8120411160058738,0.18795888399412627,0.8120411160058737,0.0,0.9428571428571428,0.9348659003831418,0.18795888399412627,0.3203125,0.8120411160058737,128,0.0,0.03979441997063138,681,420,261,0.9193424202533479,0.9553125707448399,0.9163839013517245,0.9613027719507434,0.8981772964996203,0.9589392630103696,0.24573020610600924,0.40536588755478287,0.06513409961685823,0.05714285714285714,0.8120411160058737
