setting,model,method,seed,n,n_fail,correct,wrong,deferred,detected,missed,fail_deferred
course_1,catboost,EIQ-batch,7,2100,1034,0.08238095238095237,0.04380952380952381,0.8738095238095238,0.04061895551257253,0.0725338491295938,0.8868471953578336
course_1,catboost,EIQ-batch,19,2100,1034,0.16666666666666666,0.10714285714285714,0.7261904761904762,0.3317214700193424,0.0038684719535783366,0.6644100580270793
course_1,catboost,EIQ-batch,42,2100,1034,0.10285714285714286,0.054285714285714284,0.8428571428571429,0.15860735009671179,0.02127659574468085,0.8201160541586073
course_1,catboost,EIQ-batch,73,2100,1034,0.10952380952380952,0.05904761904761905,0.8314285714285714,0.20986460348162475,0.01160541586073501,0.7785299806576402
course_1,catboost,EIQ-batch,101,2100,1034,0.07238095238095238,0.04,0.8876190476190476,0.09284332688588008,0.029980657640232108,0.8771760154738878
course_1,catboost,EQ,7,2100,1034,0.03142857142857143,0.017142857142857144,0.9514285714285714,0.04061895551257253,0.0183752417794971,0.9410058027079303
course_1,catboost,EQ,19,2100,1034,0.16666666666666666,0.10714285714285714,0.7261904761904762,0.3317214700193424,0.0038684719535783366,0.6644100580270793
course_1,catboost,EQ,42,2100,1034,0.19,0.12428571428571429,0.6857142857142857,0.3355899419729207,0.02127659574468085,0.6431334622823984
course_1,catboost,EQ,73,2100,1034,0.10952380952380952,0.05904761904761905,0.8314285714285714,0.20986460348162475,0.01160541586073501,0.7785299806576402
course_1,catboost,EQ,101,2100,1034,0.07238095238095238,0.04,0.8876190476190476,0.09284332688588008,0.029980657640232108,0.8771760154738878
course_1,catboost,MCP,7,2100,1034,0.03142857142857143,0.017142857142857144,0.9514285714285714,0.04061895551257253,0.0183752417794971,0.9410058027079303
course_1,catboost,MCP,19,2100,1034,0.16666666666666666,0.10714285714285714,0.7261904761904762,0.3317214700193424,0.0038684719535783366,0.6644100580270793
course_1,catboost,MCP,42,2100,1034,0.19,0.12428571428571429,0.6857142857142857,0.3355899419729207,0.02127659574468085,0.6431334622823984
course_1,catboost,MCP,73,2100,1034,0.10952380952380952,0.05904761904761905,0.8314285714285714,0.20986460348162475,0.01160541586073501,0.7785299806576402
course_1,catboost,MCP,101,2100,1034,0.07238095238095238,0.04,0.8876190476190476,0.09284332688588008,0.029980657640232108,0.8771760154738878
course_1,logistic,EIQ-batch,7,2100,1034,0.1138095238095238,0.05619047619047619,0.83,0.0,0.11411992263056092,0.8858800773694391
course_1,logistic,EIQ-batch,19,2100,1034,0.15142857142857144,0.07714285714285714,0.7714285714285715,0.2901353965183752,0.01160541586073501,0.6982591876208898
course_1,logistic,EIQ-batch,42,2100,1034,0.19714285714285715,0.08619047619047619,0.7166666666666667,0.2127659574468085,0.08800773694390715,0.6992263056092843
course_1,logistic,EIQ-batch,73,2100,1034,0.12095238095238095,0.06380952380952382,0.8152380952380952,0.0,0.12959381044487428,0.8704061895551257
course_1,logistic,EIQ-batch,101,2100,1034,0.19857142857142857,0.09476190476190476,0.7066666666666667,0.10058027079303675,0.1576402321083172,0.741779497098646
course_1,logistic,EQ,7,2100,1034,0.1919047619047619,0.1061904761904762,0.7019047619047619,0.3781431334622824,0.004835589941972921,0.6170212765957447
course_1,logistic,EQ,19,2100,1034,0.2195238095238095,0.13,0.6504761904761904,0.4284332688588008,0.01160541586073501,0.5599613152804642
course_1,logistic,EQ,42,2100,1034,0.26476190476190475,0.1361904761904762,0.599047619047619,0.35009671179883944,0.08800773694390715,0.5618955512572534
course_1,logistic,EQ,73,2100,1034,0.10238095238095238,0.0419047619047619,0.8557142857142858,0.17311411992263057,0.0183752417794971,0.8085106382978723
course_1,logistic,EQ,101,2100,1034,0.18904761904761905,0.10380952380952381,0.7071428571428572,0.3152804642166344,0.033849129593810444,0.6508704061895552
course_1,logistic,MCP,7,2100,1034,0.1919047619047619,0.1061904761904762,0.7019047619047619,0.3781431334622824,0.004835589941972921,0.6170212765957447
course_1,logistic,MCP,19,2100,1034,0.2195238095238095,0.13,0.6504761904761904,0.4284332688588008,0.01160541586073501,0.5599613152804642
course_1,logistic,MCP,42,2100,1034,0.2557142857142857,0.13,0.6142857142857143,0.3317214700193424,0.08800773694390715,0.5802707930367504
