Setting,Course,Method,N,Fail N,Cov.,Fail,Review,Error,Missed
Temporal-1,Acc.,MCP,705,314,0.9710638297872339,0.9796178343949045,0.9041134751773049,0.32419686811829135,0.02038216560509552
Temporal-1,Acc.,EQ,705,314,0.9622695035460993,0.959872611464968,0.8771631205673758,0.3139181224736921,0.040127388535031824
Temporal-1,Acc.,EIQ-batch,705,314,0.9330496453900711,0.954140127388535,0.8116312056737588,0.3468676654564453,0.04585987261146494
Temporal-1,Econ.,MCP,681,261,0.9468428781204112,0.9295019157088122,0.8455212922173274,0.34666928957377563,0.07049808429118769
Temporal-1,Econ.,EQ,681,261,0.9309838472834068,0.8881226053639846,0.7903083700440529,0.3381586512759033,0.11187739463601527
Temporal-1,Econ.,EIQ-batch,681,261,0.9039647577092511,0.8773946360153257,0.7450807635829662,0.3899650813324033,0.1226053639846743
Temporal-2,Acc.,MCP,723,266,0.7723374827109266,0.38571428571428573,0.2661134163208852,0.3097657075378032,0.6142857142857143
Temporal-2,Acc.,EQ,723,266,0.7723374827109266,0.38571428571428573,0.2661134163208852,0.3097657075378032,0.6142857142857143
Temporal-2,Acc.,EIQ-batch,723,266,0.8182572614107884,0.5127819548872179,0.4152143845089903,0.2817068206346348,0.487218045112782
Temporal-2,Econ.,MCP,676,371,0.8890532544378699,0.8194070080862534,0.6863905325443787,0.35293187899475853,0.18059299191374661
Temporal-2,Econ.,EQ,676,371,0.8890532544378699,0.8194070080862534,0.6863905325443787,0.35293187899475853,0.18059299191374661
Temporal-2,Econ.,EIQ-batch,676,371,0.9050295857988166,0.8576819407008086,0.7076923076923076,0.2992104498932928,0.14231805929919136
