Setting,Course,Method,N,Fail N,Cov.,Fail,Review,Error,Missed
Temporal-1,Acc.,MCP,705,314,0.9398581560283688,0.8828025477707007,0.7568794326241134,0.24267542077823379,0.11719745222929934
Temporal-1,Acc.,EQ,705,314,0.9327659574468086,0.8770700636942674,0.7367375886524823,0.2506911158617635,0.12292993630573246
Temporal-1,Acc.,EIQ-batch,705,314,0.9293617021276596,0.9222929936305733,0.7560283687943262,0.2975523405539155,0.0777070063694267
Temporal-1,Econ.,MCP,681,261,0.877533039647577,0.728735632183908,0.5700440528634361,0.28207269002028806,0.27126436781609187
Temporal-1,Econ.,EQ,681,261,0.8707782672540381,0.7172413793103448,0.5500734214390601,0.28504508873485157,0.2827586206896551
Temporal-1,Econ.,EIQ-batch,681,261,0.8863436123348016,0.8229885057471265,0.6370044052863435,0.3308886782504724,0.17701149425287352
Temporal-2,Acc.,MCP,723,266,0.750207468879668,0.33007518796992474,0.19114799446749653,0.3077507147583874,0.6699248120300751
Temporal-2,Acc.,EQ,723,266,0.750207468879668,0.33007518796992474,0.19087136929460577,0.30764630439775287,0.6699248120300751
Temporal-2,Acc.,EIQ-batch,723,266,0.7311203319502075,0.2812030075187969,0.15656984785615488,0.3174710776456066,0.718796992481203
Temporal-2,Econ.,MCP,676,371,0.9443786982248522,0.9272237196765498,0.8026627218934912,0.2717257146163138,0.07277628032345008
Temporal-2,Econ.,EQ,676,371,0.9443786982248522,0.9272237196765498,0.8023668639053255,0.27115445489012446,0.07277628032345008
Temporal-2,Econ.,EIQ-batch,676,371,0.9106508875739644,0.8991913746630728,0.7097633136094674,0.3009719733714241,0.10080862533692721
