Setting,Method,N / Fail,"Fail [CI], %","Error [CI], %"
IID,MCP,856 / 392,"96.1 [94.6, 97.4]","21.9 [16.8, 27.1]"
IID,EQ,856 / 392,"96.1 [94.6, 97.4]","21.9 [16.8, 27.1]"
IID,EIQ-batch,856 / 392,"96.1 [94.6, 97.4]","21.9 [16.8, 27.1]"
Temporal-1,MCP,1386 / 575,"95.7 [94.7, 96.6]","33.8 [27.7, 39.8]"
Temporal-1,EQ,1386 / 575,"92.7 [91.4, 94.0]","32.8 [27.7, 37.9]"
Temporal-1,EIQ-batch,1386 / 575,"91.9 [90.5, 93.2]","36.8 [33.2, 40.5]"
Temporal-2,MCP,1399 / 637,"63.8 [60.4, 67.1]","32.2 [29.1, 35.4]"
Temporal-2,EQ,1399 / 637,"63.8 [60.4, 67.1]","32.2 [29.1, 35.4]"
Temporal-2,EIQ-batch,1399 / 637,"71.4 [68.6, 74.0]","29.0 [25.4, 33.1]"
Course-1,MCP,2100 / 1034,"98.3 [97.8, 98.8]","36.9 [33.0, 40.9]"
Course-1,EQ,2100 / 1034,"98.3 [97.8, 98.8]","36.9 [33.0, 40.9]"
Course-1,EIQ-batch,2100 / 1034,"97.2 [96.5, 97.8]","35.8 [32.2, 39.5]"
Course-2,MCP,2180 / 929,"94.7 [93.8, 95.6]","38.3 [34.2, 42.7]"
Course-2,EQ,2180 / 929,"94.7 [93.8, 95.6]","38.3 [34.2, 42.7]"
Course-2,EIQ-batch,2180 / 929,"97.1 [96.4, 97.7]","39.6 [35.4, 43.9]"
