Setting,Method,Cov.,Fail,Review,Error,Missed
IID,MCP,0.9616822429906542,0.9607142857142857,0.8271028037383178,0.2185834736688667,0.039285714285714236
IID,EQ,0.9616822429906542,0.9607142857142857,0.8271028037383178,0.2185834736688667,0.039285714285714236
IID,EIQ-batch,0.9616822429906542,0.9607142857142857,0.8271028037383178,0.2185834736688667,0.039285714285714236
Temporal-1,MCP,0.9591630591630592,0.9568695652173913,0.8753246753246753,0.3378121546543994,0.04313043478260866
Temporal-1,EQ,0.9468975468975469,0.9273043478260871,0.8344877344877345,0.32838198705663413,0.07269565217391301
Temporal-1,EIQ-batch,0.9187590187590187,0.919304347826087,0.778932178932179,0.3684532134755924,0.08069565217391299
Temporal-2,MCP,0.8287348105789849,0.6383045525902669,0.4691922802001429,0.32162360637328824,0.3616954474097331
Temporal-2,EQ,0.8287348105789849,0.6383045525902669,0.4691922802001429,0.32162360637328824,0.3616954474097331
Temporal-2,EIQ-batch,0.8601858470335955,0.713657770800628,0.5565403859899929,0.2900947781459463,0.286342229199372
Course-1,MCP,0.9304761904761903,0.9829787234042554,0.8164761904761906,0.3691829518033514,0.017021276595744657
Course-1,EQ,0.9304761904761903,0.9829787234042554,0.8164761904761906,0.3691829518033514,0.017021276595744657
Course-1,EIQ-batch,0.939142857142857,0.9721470019342361,0.8323809523809524,0.35802867877338473,0.027852998065764002
Course-2,MCP,0.951651376146789,0.9466092572658773,0.8704587155963304,0.38320189703808166,0.053390742734122656
Course-2,EQ,0.951651376146789,0.9466092572658773,0.8704587155963304,0.38320189703808166,0.053390742734122656
Course-2,EIQ-batch,0.9561467889908257,0.9705059203444565,0.8888990825688073,0.3960551454667986,0.02949407965554356
