Setting,Method,Cov.,Fail,Review,Error,Missed
IID,MCP,0.9537383177570093,0.9683673469387756,0.8205607476635515,0.25390812749285263,0.03163265306122446
IID,EQ,0.9537383177570093,0.9683673469387756,0.8200934579439253,0.2532069881414065,0.03163265306122446
IID,EIQ-batch,0.9609813084112149,0.9683673469387756,0.8427570093457945,0.24221981580454094,0.03163265306122446
Temporal-1,MCP,0.9092352092352092,0.8128695652173914,0.6650793650793652,0.2678561834484167,0.18713043478260866
Temporal-1,EQ,0.9023088023088024,0.8045217391304348,0.645021645021645,0.27234213140677016,0.19547826086956516
Temporal-1,EIQ-batch,0.9082251082251082,0.877217391304348,0.6975468975468976,0.31464399039364305,0.12278260869565212
Temporal-2,MCP,0.8440314510364546,0.6778649921507064,0.4866333095067905,0.30238982207400666,0.32213500784929355
Temporal-2,EQ,0.8440314510364546,0.6778649921507064,0.48634739099356683,0.3022113417068471,0.32213500784929355
Temporal-2,EIQ-batch,0.8178699070764832,0.6411302982731554,0.4238741958541816,0.3144317044027793,0.35886970172684457
Course-1,MCP,0.9116190476190477,0.9686653771760156,0.7410476190476191,0.3288497205947406,0.0313346228239845
Course-1,EQ,0.8963809523809523,0.9686653771760156,0.7028571428571428,0.3425465365811111,0.0313346228239845
Course-1,EIQ-batch,0.9243809523809524,0.899806576402321,0.768,0.3281293332703278,0.10019342359767888
Course-2,MCP,0.933211009174312,0.8796555435952638,0.7552293577981652,0.28761676775127026,0.1203444564047362
Course-2,EQ,0.9246788990825687,0.8596340150699676,0.718256880733945,0.26686735043220017,0.14036598493003224
Course-2,EIQ-batch,0.9430275229357798,0.9248654467168999,0.8044954128440367,0.30718499644634745,0.07513455328310008
