setting,course,model,method,metric,estimate,lower,upper,n_test,n_fail,n_automatic_mean,n_automatic_min,n_automatic_max,finite_replicates
course_1,pooled,catboost,EIQ-batch,coverage,0.9391428571428572,0.9321904761904761,0.9458095238095238,2100,1034,352.0,236,575,2000
course_1,pooled,catboost,EIQ-batch,fail_coverage,0.972147001934236,0.9654907970277308,0.9783905976344689,2100,1034,352.0,236,575,2000
course_1,pooled,catboost,EIQ-batch,automatic_coverage,0.1676190476190476,0.15695238095238098,0.17847857142857143,2100,1034,352.0,236,575,2000
course_1,pooled,catboost,EIQ-batch,review_fraction,0.8323809523809524,0.8215214285714286,0.843047619047619,2100,1034,352.0,236,575,2000
course_1,pooled,catboost,EIQ-batch,singleton_error,0.35802867877338473,0.3221267050772944,0.3946454746418717,2100,1034,352.0,236,575,2000
course_1,pooled,catboost,EIQ-batch,missed_failure,0.027852998065764023,0.021609402365531095,0.034509202972269254,2100,1034,352.0,236,575,2000
course_1,pooled,catboost,EQ,coverage,0.9304761904761905,0.9227619047619047,0.9377142857142857,2100,1034,385.4,102,660,2000
course_1,pooled,catboost,EQ,fail_coverage,0.9829787234042553,0.977608880455408,0.9880398008518476,2100,1034,385.4,102,660,2000
course_1,pooled,catboost,EQ,automatic_coverage,0.18352380952380953,0.17256904761904762,0.19485714285714287,2100,1034,385.4,102,660,2000
course_1,pooled,catboost,EQ,review_fraction,0.8164761904761905,0.8051428571428572,0.8274309523809523,2100,1034,385.4,102,660,2000
course_1,pooled,catboost,EQ,singleton_error,0.3691829518033515,0.3298151909550627,0.40938098182965726,2100,1034,385.4,102,660,2000
course_1,pooled,catboost,EQ,missed_failure,0.01702127659574468,0.01196019914815241,0.02239111954459203,2100,1034,385.4,102,660,2000
course_1,pooled,catboost,MCP,coverage,0.9304761904761905,0.9227619047619047,0.9377142857142857,2100,1034,385.4,102,660,2000
course_1,pooled,catboost,MCP,fail_coverage,0.9829787234042553,0.977608880455408,0.9880398008518476,2100,1034,385.4,102,660,2000
course_1,pooled,catboost,MCP,automatic_coverage,0.18352380952380953,0.17256904761904762,0.19485714285714287,2100,1034,385.4,102,660,2000
course_1,pooled,catboost,MCP,review_fraction,0.8164761904761905,0.8051428571428572,0.8274309523809523,2100,1034,385.4,102,660,2000
course_1,pooled,catboost,MCP,singleton_error,0.3691829518033515,0.3298151909550627,0.40938098182965726,2100,1034,385.4,102,660,2000
course_1,pooled,catboost,MCP,missed_failure,0.01702127659574468,0.01196019914815241,0.02239111954459203,2100,1034,385.4,102,660,2000
course_1,pooled,logistic,EIQ-batch,coverage,0.9243809523809524,0.9158071428571429,0.9327619047619049,2100,1034,487.2,357,616,2000
course_1,pooled,logistic,EIQ-batch,fail_coverage,0.8998065764023211,0.8844725467840285,0.9147088593807343,2100,1034,487.2,357,616,2000
course_1,pooled,logistic,EIQ-batch,automatic_coverage,0.232,0.2192380952380953,0.24505,2100,1034,487.2,357,616,2000
course_1,pooled,logistic,EIQ-batch,review_fraction,0.768,0.75495,0.7807619047619048,2100,1034,487.2,357,616,2000
course_1,pooled,logistic,EIQ-batch,singleton_error,0.3281293332703278,0.2954308433207183,0.36335408397600494,2100,1034,487.2,357,616,2000
course_1,pooled,logistic,EIQ-batch,missed_failure,0.10019342359767891,0.08529114061926564,0.11552745321597145,2100,1034,487.2,357,616,2000
course_1,pooled,logistic,EQ,coverage,0.8963809523809524,0.8857142857142858,0.9067642857142856,2100,1034,624.0,303,842,2000
course_1,pooled,logistic,EQ,fail_coverage,0.9686653771760155,0.9604742500029149,0.9753589776593841,2100,1034,624.0,303,842,2000
course_1,pooled,logistic,EQ,automatic_coverage,0.29714285714285715,0.28133095238095235,0.31361904761904763,2100,1034,624.0,303,842,2000
course_1,pooled,logistic,EQ,review_fraction,0.7028571428571428,0.6863809523809523,0.7186690476190476,2100,1034,624.0,303,842,2000
course_1,pooled,logistic,EQ,singleton_error,0.3425465365811111,0.30990383222989376,0.3755133871599989,2100,1034,624.0,303,842,2000
course_1,pooled,logistic,EQ,missed_failure,0.031334622823984526,0.024641022340616048,0.039525749997085136,2100,1034,624.0,303,842,2000
course_1,pooled,logistic,MCP,coverage,0.9116190476190477,0.9023761904761904,0.9205761904761904,2100,1034,543.8,246,810,2000
course_1,pooled,logistic,MCP,fail_coverage,0.9686653771760155,0.9604742500029149,0.9753589776593841,2100,1034,543.8,246,810,2000
course_1,pooled,logistic,MCP,automatic_coverage,0.25895238095238093,0.2447595238095238,0.2735261904761905,2100,1034,543.8,246,810,2000
course_1,pooled,logistic,MCP,review_fraction,0.7410476190476191,0.7264738095238096,0.7552404761904762,2100,1034,543.8,246,810,2000
course_1,pooled,logistic,MCP,singleton_error,0.3288497205947406,0.2952379327631597,0.36460640241134995,2100,1034,543.8,246,810,2000
course_1,pooled,logistic,MCP,missed_failure,0.031334622823984526,0.024641022340616048,0.039525749997085136,2100,1034,543.8,246,810,2000
course_2,pooled,catboost,EIQ-batch,coverage,0.9561467889908257,0.9504587155963303,0.9611926605504587,2180,929,242.2,123,375,2000
course_2,pooled,catboost,EIQ-batch,fail_coverage,0.9705059203444564,0.9640738018125934,0.9765980498374865,2180,929,242.2,123,375,2000
course_2,pooled,catboost,EIQ-batch,automatic_coverage,0.11110091743119266,0.10275229357798166,0.11963302752293578,2180,929,242.2,123,375,2000
course_2,pooled,catboost,EIQ-batch,review_fraction,0.8888990825688073,0.8803669724770642,0.8972477064220183,2180,929,242.2,123,375,2000
course_2,pooled,catboost,EIQ-batch,singleton_error,0.39605514546679865,0.3537983060921685,0.43920276538150643,2180,929,242.2,123,375,2000
course_2,pooled,catboost,EIQ-batch,missed_failure,0.029494079655543595,0.023401950162513542,0.03592619818740663,2180,929,242.2,123,375,2000
course_2,pooled,catboost,EQ,coverage,0.951651376146789,0.9457798165137614,0.9571559633027522,2180,929,282.4,123,577,2000
course_2,pooled,catboost,EQ,fail_coverage,0.9466092572658773,0.9375767304412068,0.9556713479504421,2180,929,282.4,123,577,2000
